,의안번호,의안명,제안일자,제안자구분,의결일자,의결결과,발의자,제안회기,제안이유,소관위원회,제안자,제안정당,성별,여성의원 수
0,152550,  청소년의성보호에관한법률안,2000-01-13,위원장,2000-01-14,원안가결,위원장,제15대 (1996~2000) 제209회,"1. 1999년 11월 4일 박상천·林채정·정세균·방용석의원외 101인이 발의한 아동·청소년의성보호에관한법률안이 같은 해 11월 5일 우리 위원회에 회부되어 이를 제208회국회(정기회) 제6차 정무위원회( 99.11.23)에상정하여 제안설명, 검토보고를 듣고 대체토론을 거친 후 법안심사소위원회에 회부하였음.2. 1999년 11월 5일 권영자·금영선의원외 130인이 발의한 청소년보호법중개정법률안이 같은 해 11월 9일 우리 위원회에 회부되어 이를 제208회국회(정기회) 제6차 정무위원회( 99.11.23)에 상정하여 제안설명, 검토보고를 듣고 대체토론을 거친 후 법안심사소위원회에 회부하였음.3. 이 두 법률안에 대하여 제209회국회(임시회) 제1차( 99.12.27) 법안심사위원회에서 심사한 결과 위원회 대안을 마련하기로 하고, 제209회국회(임시회) 제1차( 99.12.27) 정무위원회에서 소위원회에서 보고한 대로두 법률안을 통합한 위원회 대안을 가결하였음. 최근 우리사회의 심각한 사회문제로 부각되어 온 청소년을 대상으로 하는 성행위, 성폭력  음란물의 제작·유통이 더이상 방치할 수 없는 실정에 이르렀음. 이에 청소년의 성을 사는 행위, 성매매를 조장하는 온갖 형태의 중간매개행위  청소년에 대한 성폭행행위를 하는 자들을 강력하게 처벌하고, 성매매와 성폭행행위의 대상이 된 청소년을 보호·구제하는 장치를 마련함으로써 이들의 인권을 보장하고 건전한 사회구성원으로 복귀할수 있도록 하는 한편, 청소년을 대상으로 하는 성매매  성폭행 행위자의 신상을 공개함으로써 범죄예방효과를 극대화하는 등 상업적 청소년 성착취근절대책을 강화해 나가는 국제적 추세에 부응하고자 함. 1. 청소년 본인, 청소년을 소개·알선한 자 또는 청소년을 실질적으로 보호·감독하는 자에게 金품 기타 재산상 이익이나, 직무·편의제공 등 대가를 제공하거나 이를 약속하고 성교행위 또는 類사성교행위를 하는 청소년의 성을 사는 행위를 처벌함(안 제2조, 제5조).2. 청소년에 대해 폭행·채무·업무·고용관계 등을 이용하여 청소년의 성을 사는 행위의 상대방이 되도록 강요한 자와 청소년의 성을 사는 행위를 알선하거나 장소·자金·토지·건물을 제공한 자를 처벌함(안 제6조, 제7조).3. 청소년이 등장하는 청소년利용음란물을 제작·수입·수출한 자, 영리를 목적으로 판매·대여·배포하거나이를 목적으로 소지·운반하거나, 공연히 전시 또는 상영한 자, 청소년利용음란물 제작자에게 청소년을 알선한 자를 처벌함(안 제8조).4. 청소년의 성을 사는 행위  청소년利용음란물을 제작하는 행위의 대상이 될 것을 알면서 청소년을 매매한자를 처벌하고, 국내 청소년을 국외로, 국외 거주 청소년을 국내로 소개·매매·이송한 자는 가중처벌함(안 제9조).5. 청소년에 대하여 강간, 강제추행 등 성폭력을 가하거나 위계 또는 위력으로 청소년을 간음 또는 추행한 자를 가중처벌함(안 제10조).6. 청소년의 성을 사는 행위의 대상이 된 청소년에 대하여는 처벌하지 아니하고, 대상 청소년의 선도보호 재활을 위하여 소년부의 보호사건으로 처리토록 하며, 대상 청소년을 위하여 필요하다고 인정할 때에는 선도보호시설에 위탁하여 선도보호할 수 있도록 함.(안 제13조 내지 제15조).7. 윤락행위등방지법에 의한 각종 보호시설, 모자복지법에 의한 모자복지상담소, 성폭력범죄의처벌피해자보호등에관한법률에 의한 성폭력피해상담소 등으로 하여금 대상 청소년 등의 선도보호  재활을 위하여 필요한 상담·선도보호·장기치료보호  교육프로그램을 수행할 수 있도록 함(안 제16조  제17조).8. 청소년의 성을 사는 행위를 한 자, 청소년으로 하여금 성을 제공토록 강요한 자, 이를 알선하거나 장소를제공한 자, 청소년利용음란물을 제작·수입·수출한 자, 청소년을 매매한 자  청소년에 대해 강간 등 성폭력행위를 행한 자 등 이 법에 정한 범죄행위를 범하고 형이 확정된 자에 대하여는 청소년보호위원회가관보 등에 당해 범죄자의 신상을 공개할 수 있도록 함(안 제20조).",정무위원회,[],위원장,,0
1,152499,  사립학교법중개정법률안,1999-12-17,위원장,1999-12-28,원안가결,위원장,제15대 (1996~2000) 제209회,"1. 1999년 9월 10일 李미경의원외 23인이 발의하여 동일 우리 위원회에 회부된 사립학교법중개정법률안과1999년 11월 19일 정부가 제출하여 동년 11월 20일 우리 위원회로 회부된 사립학교법중개정법률안을 1999년 12월 13일 제208회국회(정기회) 제7차 위원회에 이를 상정하였고, 동일 법률심사소위원회에 회부하였음.2. 법률심사소위원회에서는 1999년 12월 13일 회의를 열어 위원회 심사과정에서 제시된 주요쟁점사항 등을 중심으로 李미경의원외 23인과 정부가 제안한 사립학교법중개정법률안을 심사하였으나 동 개정법률안은 각각휴직관련 개정사항이므로 통합하여 사립학교법중개정법률안(대안)을 성안하여 제안하기로 함.3. 1999년 12월 13일 제208회국회(정기회) 제8차 위원회에서 법률심사소위원회(소위원장 : 李재오)로부터 사립학교법중개정법률안에 대한 심사보고를 받고, 李미경의원외 23인과 정부가 각각 제안한 개정법률안은 이를 본회의에 부의하지 않기로 하되, 동 소위원회에서 제안한 사립학교법중개정법률안(대안)을 원안대로 의결하여 위원회안으로 채택하기로 의결함. 1. 현행 남녀고용평등법의 경우 신청시 1년간의 육아휴직의 의무적 허용, 육아로 인한 휴직기간의 근속년수에의 산입, 육아휴직으로 인한 불리한 처우의 금지 등을 명문으로 규정하고 있으므로, 이러한 남녀고용평등법과 그 법적 형평성을 기하고, 육아휴직제의 활성화를 위한 제도적 기반을 마련함으로써 특히 여성교원의근로조건 향상과 복지증진을 기하고자 사립학교법상의 관련규정을 보완하고,2. 교원의노동조합설립운영등에관한 법률의 제정(1999. 1. 29. 법률 제5727호)으로 노동조합의 업무에만 종사할 수 있는 노동조합 전임자제도가 도입됨에 따라 관련규정을 정비하려는 것임. 1. 사립학교 교원이 1세미만의 자녀의 양육이나 임신·출산을 사유로 휴직을 원하는 경우 1년의 범위내에서임용권자는 반드시 휴직을 명하도록 하고, 노동조합 전임자로 근무한 경우를 휴직사유에 포함하고자 함(안제59조제1항).2. 육아 등을 사유로 한 휴직에 대해 승진·승급 등의 임용에 있어서 불리한 처우를 하지 못하도록 하고 1년이내의 휴직기간은 근속기간에 포함하고자 함(안 제59조제4항).",교육위원회,[],위원장,,0
2,152498,  교육공무원법중개정법률안,1999-12-17,위원장,1999-12-28,원안가결,위원장,제15대 (1996~2000) 제209회,"1. 1999년 8월 16일 李미경의원외 23인이 발의하여 동년 9월 10일 우리 위원회에 회부된 교육공무원법중개정법률안과 1999년 11월 19일 정부가 제출하여 동년 동월 20일 우리 위원회에 회부된 교육공무원법중개정법률안을 1999년 12월 13일 제208회국회(정기회) 제7차 위원회에 이를 상정하였고, 동일 법률심사소위원회에회부하였음.2. 법률심사소위원회에서는 1999년 12월 13일 회의를 열어 위원회 심사과정에서 제시된 주요쟁점사항 등을 중심으로 李미경의원외 23인과 정부가 제출한 교육공무원법중개정법률안을 심사하였으나 동 개정법률안은 각각 휴직관련 개정사항이므로 통합하여 교육공무원법중개정법률안(대안)을 성안하여 제안하기로 함.3. 1999년 12월 13일 제208회국회(정기회) 제8차 위원회에서 법률심사소위원회(소위원장 : 李재오)로부터 교육공무원법중개정법률안에 대한 심사보고를 받고, 李미경의원외 23인과 정부가 각각 제안한 개정법률안은이를 본회의에 부의하지 않기로 하되, 동 소위원회에서 제안한 교육공무원법중개정법률안(대안)을 원안대로 의결하여 위원회안으로 채택하기로 의결함. 1. 현행 남녀고용평등법의 경우 신청시 1년간의 육아휴직의 의무적 허용, 육아로 인한 휴직기간의 근속년수에의 산입, 육아휴직으로 인한 불리한 처우의 금지 등을 명문으로 규정하고 있으므로, 이러한 남녀고용평등법과 그 법적 형평성을 기하고, 육아휴직제의 활성화를 위한 제도적 기반을 마련함으로써 특히 여성교원의 근로조건 향상과 복지증진을 기하고자 교육공무원법의 관련규정을 보완하고,2. 교원의노동조합설립운영등에관한법률의 제정(1999. 1. 29. 법률 제5727호)으로 노동조합의 업무에만 종사할 수 있는 노동조합 전임자제도가 도입됨에 따라 관련규정을 정비하려는 것임. 1. 교육공무원이 1세미만의 자녀의 양육이나 임신·출산을 사유로 휴직을 원하는 경우 1년의 범위내에서 임용권자는 반드시 휴직을 명하도록 하고, 노동조합 전임자로 근무한 경우를 휴직사유에 포함하며, 그 휴직기간은 전임기간으로 함(안 제44조제1항).2. 육아 등을 사유로 한 휴직에 대해 승진·승급 등의 임용에 있어서 불리한 처우를 하지 못하도록 하고 1년이내의 휴직기간은 근속기간에 포함하고자 함(안 제44조제4항).",교육위원회,[],위원장,,0
3,152488,  남녀고용평등법중개정법률안,1999-12-16,의원,2000-05-29,임기만료폐기,김정숙,제15대 (1996~2000) 제208회,"현재 무급인 육아휴직기간의 소득보장을 위하여 고용보험법에서 임金의 일부를 지급하도록 하고, 가족간호휴직을 신설하여 현재 공무원에 부여되고 있는 가족간호휴직제도를 민간부분에도 도입하며, 이들 육아휴직  가족간호휴직이 남녀근로자 모두에게 적용되는 만큼 이와 관련된 조항을 포함하는 제3장의 제목을 \ 근로자의 가족책임지원\ 으로 함으로써 근로자의 가족복지 향상을 기하고자 함. 1. 제3장의 제목인  모성보호  복지시설 설치  를  근로자의 가족책임지원 으로 함. (안 제3장의 제목).2. 육아휴직중인 근로자에게 고용보험법에 의한 고용보험기金에서 임金의 일부분을 지급할 수 있도록 함(안제11조제4항).3. 사업주는 근로자가 사고 또는 질병 등으로 장기간의 요양을 요하는 부모, 배우자, 자녀 또는 배우자의 부모의 간호를 위하여 휴직을 할 수 있도록 가족간호휴직제도를 신설하고, 휴직만료후 당연 복직을 명시함(안 제11조의2제1항  제2항).4. 근로자가 휴직기간중 그 사유가 소멸된 때는 지체없이 이를 사업주에게 신고하여야 하며, 사업주는 휴직기간 만료 이전이라도 복직을 명할 수 있도록 함(안 제11조의2제3항).5. 가족간호휴직기간은 근속기간에 포함되지 않음을 명시함(안 제11조의2제4항).",환경노동위원회,"['김정숙', '권영자', '김영선', '김영환', '김칠환', '박근혜', '박범진', '박원홍', '박철언', '신기남', '오양순', '이윤성', '임진출', '정동채', '정희경', '조영재']",신한국당,남성,6
4,152486,  국민건강보험법중개정법률안,1999-12-16,의원,2000-05-29,임기만료폐기,김정숙,제15대 (1996~2000) 제208회,"여성의 모성기능 보호의 일환으로 임산부가 태아건강검진을 받고 산전후 휴식을 취하는 것은 여성의 건강을 위하여 매우 중요하며 국민의 재생산이라는 면에서 모성보호비용을 사회분담화하는 것이 세계적인 추세임. 그러나 우리나라 현행법상 근로女성의 산전후휴가에 대해서만 규정되어 있으며 그 휴가비용도 사업주의 전액부담으로 되어있어 산전후 충분한 휴가를 가질 수 없을 뿐만 아니라 여성의 고용을 저해하는 요인으로 작용하고 있는바, 2000년 7월 1일부터 시행될 예정인 『국민건강보험법』상 모성보호급여를 신설하여 가입자  피부양자중녀자가 임신을 한 경우 태아건강검진  산전후 건강회복을 위한 기간에 대하여 휴가에 소요되는 비용의 일부를 모성보호급여로 지급받도록 하되 국가가 이를 부담 또는 보조하도록 하며 재원문제를 감안하여 대통령령이정하는 바에 따라 순차적으로 시행토록 함으로써 여성의 모성보호를 강화하려는 것임. 1. 급여의 종류에 모성보호급여를 신설하여 가입자  피부양자중 여자가 임신을 한 경우 태아건강검진  산전후 건강회복을 위한 기간에 대하여 휴가에 소요되는 비용의 일부를 모성보호급여로 지급하도록 함(안 제38조의2  제39조의2 제1항 내지 제3항 신설).2. 모성보호급여는 대통령령이 정하는 바에 의하여 순차적으로 실시하며 국가가 이를 부담 또는 보조하도록함(안 제39조의2 제4항·제5항 신설).",보건복지위원회,"['김정숙', '권영자', '김영선', '김영환', '김칠환', '박근혜', '박범진', '박원홍', '박철언', '신기남', '오양순', '이윤성', '임진출', '정동채', '정희경', '조영재']",신한국당,남성,6
5,152440,  교육기본법중개정법률안,1999-12-02,의원,1999-12-28,원안가결,정몽준,제15대 (1996~2000) 제208회,성별에 따른 교육적 차별의 금지라는 교육기본법상의 취지를 교육현실에서 보다 구체화할 수 있는 방안  절차에 관한 규정을 마련하는 외에 국가 등으로 하여금 과학기술·체육 등 여성의 사회적 활동이 상대적으로 취약한 분야를 중점 육성할 수 있는 교육적 시책을 강구하도록 함으로써 교육에서의 남녀평등정신을 보다 적극적으로 실현하려는 것임. 1. 교육제도의 수립과 그 운영에 있어 남녀평등정신을 보다 적극적으로 실현할 수 있는 시책의 강구에 대한국가  지방자치단체의 의무에 대해 규정함(안 제17조의2 제1항).2. 체육·과학기술 등 여성의 사회적 활동이 취약한 분야를 중점 육성할 수 있는 교육적 방안을 마련하도록함(안 제17조의2 제2항).3. 학교교육에서의 남녀평등증진을 위한 중요시책의 수립과 관련하여 교육부장관의 자문에 응하도록 하기 위하여 교육부에 남녀평등교육심의회를 두도록 함(안 제17조의2 제3항).,교육위원회,"['정몽준', '권영자', '김일주', '김정숙', '김칠환', '남궁진', '박근혜', '박세직', '박희태', '신낙균', '오양순', '이건개', '이원복', '이재오', '임진출', '임채정', '장영달', '정세균', '정창화', '정희경', '조홍규', '차수명', '추미애', '한영애', '함종한', '김현욱', '김홍신', '남경필', '노무현', '맹형규', '박관용', '박성범', '박세환', '박승국', '박시균', '박신원', '박원홍', '박정수', '박종웅', '박철언', '박태준', '방용석', '백남치', '백승홍', '변웅전', '변정일', '서정화', '서한샘', '서훈', '설훈', '송훈석', '신경식', '신기남', '신영국', '신영균', '안상수', '안재홍', '양성철', '오세응', '오용운', '오장섭', '원유철', '유재건', '윤원중', '윤철상', '윤한도', '이경재', '이국헌', '이규정', '이긍규', '이동원', '이미경', '이사철', '이상만', '이석현', '이세기', '이수인', '이영일', '이웅희', '이윤성', '이재선', '이태섭', '이택석', '임인배', '정동영', '정상구', '정일영', '정한용', '정형근', '조성준', '조순승', '조웅규', '조익현', '주진우', '채영석', '최희준', '하경근', '하순봉', '한화갑', '홍문종', '홍사덕']",무소속,남성,8
6,152423,  정당법중개정법률안,1999-11-30,의원,2000-05-29,임기만료폐기,변정일,제15대 (1996~2000) 제208회,"고비용·저효率의 정당구조와 정당운영의 비민주성을 개선하여 정치발전을 위한 새로운 정치문화를 형성하려는것임. 1. 법정부책 등의 인계사유가 발생시에 인계의무자는 사유발생일로부터 2주일이내에 인계하도록 의무화함(안제24조의2).2. 정당에 둘 수 있는 유급사무직원은 중앙당에 200인이내로 하며, 시 도지부를 둘 경우 1개의 지부당 5인이내로 함(안 제29조의3).3. 당비납부당원이나 무급자원봉사자에 한해 공직선거후보자와 당직자의 선거권을 부여함(안 제31조3항).4. 전국구국회의원과 비례대표 시·도의원 후보자중 20퍼센트이상을 여성으로 추천하도록 함(안 제31조4항).5. 국회의원총선거  전국동시지방선거에 참여하지 않은 경우에 정당등록을 취소하도록 함(안 제38조).6. 제24조의2의 규정에 위반하여 법정부책 등을 인계하지 아니한 자는 2년이하의 징역 또는 200만원이하의 벌金에 처함(안 제54조).",행정자치위원회,"['변정일', '권오을', '김영진', '김영진', '김영진', '김영진', '노기태', '박주천', '백승홍', '신영국', '이규택', '이사철', '이원복', '정의화', '정형근', '김무성', '김문수', '김수한', '김영구', '김영선', '김영일', '김영준', '김용갑', '김윤환', '김일윤', '김재천', '김정수', '김정숙', '김종하', '김중위', '김진재', '김찬우', '김찬진', '김철', '김태호', '김형오', '김호일', '김홍신', '나오연', '남경필', '류종수', '맹형규', '목요상', '박관용', '박근혜', '박명환', '박성범', '박세환', '박승국', '박시균', '박우병', '박원홍', '박종근', '박종웅', '박헌기', '박희태', '백남치', '서상목', '서정화', '서청원', '서훈', '신경식', '신상우', '신영균', '심정구', '안상수', '안상수', '안재홍', '안택수', '양정규', '오세응', '오양순', '유흥수', '윤원중', '윤한도', '이강두', '이경재', '이국헌', '이부영', '이상득', '이상배', '이상희', '이세기', '이신범', '이우재', '이윤성', '이응선', '이재오', '이재창', '이중재', '이한동', '이해구', '이해봉', '이형배', '이회창', '임인배', '임진출', '전석홍', '전용원', '정문화', '정재문', '정창화', '조순', '조웅규', '조익현', '조진형', '주진우', '최연희', '최형우', '하경근', '하순봉', '한승수', '함종한', '허대범', '현경대', '황규선', '황낙주', '황성균', '황우여']",신한국당,남성,4
7,152349,  영유아보육법개정법률안,1999-11-19,의원,2000-05-29,임기만료폐기,이성재,제15대 (1996~2000) 제208회,"영유아 보육시설은 양적인 측면에서 그 동안 괄목할만한 성장을 이루었고 이에 따라 보육되는 영유아도 크게증가하였으나 현행의 영유아보육법은 특별히 보호가 필요한 영유아를 주요 보육대상으로 하고 있고 각종 규정이 미비하여 보육의 질을 향상시키기에는 미흡한 실정임.이에 따라 보육대상을 일반가정의 영유아는 물론 12세미만의 아동까지 확대하고 영유아등의 권익·복지의 보장, 보육의 공공성 확대, 보육비용의 차등지원제도 도입, 보육교사 등의 자격제도 도입, 보육과정의 체계화 등을 통하여 보육의 질을 획기적으로 향상시키고 아울러 보호자의 경제적·사회적 활동을 원활하게 하여 가족복지증진에 기여하고자 하는 것임. 1. 영유아  12세미만 아동의 보호와 교육을 통하여 기본적 인권과 복지를 보장하고 아울러 보호자의 경제적·사회적 활동을 원활하게 하여 가족복지증진에 기여함을 목적으로 함(안 제1조).2. 영유아등의 보육 프로그램, 교재·교구개발  시설운영 등에 대한 지도  평가와 보육정책에 대한 심의등을 위하여 보건복지부에 중앙보육지도평가위원회를 두고 특별시·광역시·도  시·군·구에 지방보육지도평가위원회를 두며 보육지도평가위원회에 보육시설의 평가를 위하여 보육시설평가단을 구성하여 운영할 수 있도록 함(안 제6조).3. 보건복지부장관  시·도지사는 영아·장애아·결식아동 등을 보육하는 보육시설을 포함한 지역별·연령별 보육시설의 수급계획을 수립·시행하고 필요한 국·공립 보육시설을 설치할 수 있도록 함(안 제10조).4. 보육시설의 장  보육교사는 보건복지부장관이 검정·수여하는 자격증을 받도록 하고 보육교사의 경우 1·2급으로 구분하며 취학중인 12세미만 아동의 방과후 보육을 위한 보육교사의 자격을 영유아 보육교사와구분하여 정하고 자격증도 구분하여 수여하도록 함(안 제18조).4. 정부지원시설은 영아·장애아·결식아동 등을 보육하는 특수보육을 우선적으로 실시하도록 함(안 제23조).5. 보육시설의 입소대상은 영유아를 포함한 12세미만 아동으로 함(안 제24조).6. 보건복지부장관은 보육시설의 질적 개선을 위하여 보육시설평가단으로 하여금 보육시설에 대한 평가인증을시행하도록 함(안 제26조).7. 보육시설의 장은 영유아에 대한 건강진단 등 건강관리, 응급시 대처, 균형있고 위생적이며 안전한 급식 간식 등 영양관리, 안전사고 예방을 위한 안전관리 등 필요한 조치를 취하도록 하고 보육환경을 보호하기위하여 보육환경위생정화구역을 설정함(안 제27조 내지 제32조).8. 보육시설의 장은 영유아등이 올바른 생활습관을 형성할 수 있도록 하고 영유아등이 창의적이고 자주적인민주시민으로 성장할 수 있도록 보육과정을 구성하도록 함(안 제33조  제34조).9. 영유아등의 보육에 필요한 비용은 보호자의 소득수준과 지역에 따라 국가 또는 지방자치단체가 차등 지원하고 저소득층가정의 영유아등을 정부지원시설에 우선 배정하도록 하며 거주지역에서 이용할 보육시설이없는 경우에는 보건복지부장관이 정하는 바에 따라 보육수당을 지급할 수 있도록 함(안 제36조).10. 유치원에 근무하는 자 중 이 법에 의한 보육교사의 자격을 가진 자에 대하여 유치원에서의 교육경력을 보육시설에서의 보육경력으로 인정함(안 제43조제2항).",보건복지위원회,"['이성재', '김명섭', '김홍신', '어준선', '유재건', '황규선', '황성균', '오양순', '유재건', '이미경', '이신범', '이원복', '정한용', '최희준', '홍문종']",새정치국민회의,남성,2
8,152307,  남여차별금지및구제에관한법률중개정법률안,1999-11-17,의원,2000-05-29,임기만료폐기,신낙균,제15대 (1996~2000) 제208회,"      성희롱을 포함한 남녀차별사건에 대한 조사·징계량정에 있어서 어느 하나의 성에 편향된 결정을 방지하도록하기 위하여 관련위원회의 구성  운영에 양성의 균형있는 참여를 보장함으로써, 공공기관 등에서의 성희롱등남녀차별사건에 대한 조사·처리의 합리성을 제고하려는 것임.  ",국회운영위원회,"['신낙균', '국창근', '이미경', '이미경', '정의화', '김일주', '김정숙', '김허남', '김홍일', '노무현', '박범진', '신기남', '안상수', '오양순', '유재건', '이석현', '이성재', '이수인', '이재오', '장을병', '함종한']",새정치국민회의,여성,4
9,152231,  청소년보호법중개정법률안,1999-11-05,의원,2000-01-14,대안반영폐기,권영자,제15대 (1996~2000) 제208회,"최근 우리사회에서는 청소년을 대상으로 한 성행위, 성폭력  음란물의 제작·流통 등 유해환경이 심각한 사회문제로 대두되고 있으나, 이에 대한 청소년보호에 관한 규정이 없어 청소년보호법에 관련규정을 신설하여 청소년을 각종 유해환경으로부터 보다 철저히 보호하며, 청소년 대상 성행위  성폭력 행위자에 대하여 신상공개 등 특례를 규정하여 청소년을 성적폭력으로부터 효과적으로 방지함과 아울러 재발을 방지함으로써 건전한사회구성원으로 성장할 수 있도록 하고, 청소년보호위원장의 직급을 1급 별정직 국가공무원에서 정무직으로 상향 조정하여 다른 부처와의 連계  협조를 통한 신속하고 효率적인 청소년에 대한 정책수행을 기하고자 함. 1. 청소년을 이용한 유해매체물의 제작을 금지하도록 함(안 제17조제1항).2. 청소년 대상 성폭력 행위  청소년을 성비디오물의 제작에 출연·관여하게 하는 행위를 청소년유해행위로규정함(안 제26조의2제3호  제10호).3. 청소년을 대상으로 한 성교행위등에 있어 청소년유해행위의 범위를 확장함(안 제26조의2제9호).4. 청소년보호위원장의 직급을 정무직으로 상향 조정함(안 제29조제3항).5. 청소년을 대상으로 한 성폭력범죄자에 대한 벌칙규정을 신설함(안 제49조의2).6. 청소년에 대한 성행위  성폭력의 재발방지를 위해 그 범죄자에 대하여 법원의 확정판결 후 성명, 연령,직업 등의 신상과 그 범죄사실의 요지를 공개할 수 있도록 함(안 제57조).",정무위원회,"['권영자', '김영선', '강용식', '강재섭', '강현욱', '권기술', '권오을', '권익현', '권철현', '김광원', '김기춘', '김덕', '김덕룡', '김도언', '김동욱', '김명윤', '김무성', '김문수', '김수한', '김영구', '김영일', '김영준', '김영진', '김용갑', '김윤환', '김일윤', '김재천', '김정수', '김정숙', '김종하', '김중위', '김진재', '김찬우', '김찬진', '김철', '김태호', '김형오', '김호일', '김홍신', '나오연', '남경필', '노기태', '류종수', '맹형규', '목요상', '박관용', '박근혜', '박명환', '박성범', '박세환', '박승국', '박시균', '박우병', '박원홍', '박종근', '박종웅', '박주천', '박헌기', '박희태', '백남치', '백승홍', '변정일', '서상목', '서정화', '서청원', '서훈', '신경식', '신상우', '신영국', '신영균', '심정구', '안상수', '안상수', '안재홍', '안택수', '양정규', '오세응', '오양순', '유흥수', '윤원중', '윤한도', '이강두', '이경재', '이국헌', '이규택', '이부영', '이사철', '이상득', '이상배', '이상희', '이세기', '이신범', '이우재', '이원복', '이윤성', '이응선', '이재오', '이재창', '이중재', '이한동', '이해구', '이해봉', '이형배', '이회창', '임인배', '임진출', '전석홍', '전용원', '정문화', '정의화', '정재문', '정창화', '정형근', '조순', '조웅규', '조익현', '조진형', '주진우', '최연희', '최형우', '하경근', '하순봉', '한승수', '함종한', '허대범', '현경대', '황규선', '황낙주', '황성균', '황우여']",신한국당,여성,5
