,의안번호,의안명,제안일자,제안자구분,의결일자,의결결과,제안회기,제안이유,소관위원회,제안자,발의자,발의자_한글,제안정당,제안자_한글,성별,여성의원 수,정당성향
0,1918726,유아교육법 일부개정법률안,2016-05-18,위원장,2016-05-19,원안가결,제19대 (2012~2016) 제342회,"  1.  최근 보육기관에서 아동학대 사건이 잇달아 발생하고 있는 가운데 아동학대 근절과 행복한 학교문화에 대한 관심이 제기되고 있음. 이에 안전하고 행복한 유치원 문화를 조성하기 위해 유아에 대한 체벌을 하지 않도록 하고 헌법과 국제인권조약에 명시된 유아의 학생인권을 보장하고자 함.또한 아동학대로부터 안전한 유치원 및 유아 교육과정을 위하여 유치원의 원장 또는 설립ㆍ경영자가 아동학대 행위를 하거나 교직원 등 원장 또는 설립ㆍ경영자의 관리ㆍ감독 하에 있는 자가 아동학대 행위를 하여 유치원의 정상적인 교육과정 운영이 불가능한 경우에는 국립유치원의 경우에는 교육부장관이, 공ㆍ사립유치원의 경우에는 교육감이 각각 해당 유치원의 폐쇄를 명할 수 있도록 하려는 것임.한편, 지금까지는 유치원에 입학할 유아를 선발할 때에 유치원의 장은 교육 목적에 적합한 범위에서 유치원규칙으로 정하는 바에 따라 공정하고 투명한 방법으로 선발하도록 하는 내용을 대통령령에 규정하고 있었으나, 앞으로는 이에 대한 근거를 법률로 상향하여 규정하면서 유치원에 입학할 유아의 모집ㆍ선발 시기, 절차 및 방법 등에 관하여 지방자치단체가 조례로 달리 정한 것이 있는 경우 원장은 이에 따라 유아를 모집ㆍ선발하도록 하여 유아의 교육 기회를 균등하게 보장할 수 있는 장치를 마련하는 등 현행 제도의 운영상 나타난 일부 미비점을 개선ㆍ보완하려는 것임.2.  가. 유치원규칙에 대한 별도 인가 절차 폐지(안 제10조)나. 유아모집, 시기에 관한 사항의 조례 위임(안 제11조)다. 외국인유치원에 적용이 예외되는 규정 추가(안 제16조)라. 유치원 설립자ㆍ경영자와 원장의 유아 인권보장 의무 및 체벌 금지 조항 신설(안 제21조의2)마. 아동학대가 발생한 유치원에 대한 운영정지 및 폐쇄 명령 신설(안 제32조)  ",교육문화체육관광위원회,[],위원장,,위원장,[],,0,
1,1918721,초·중등교육법 일부개정법률안,2016-05-18,위원장,2016-05-19,원안가결,제19대 (2012~2016) 제342회,"  1.  학교운영위원회 위원의 결격사유를 강화하고, 법정형을 정비하려는 것임.2.  성폭력 범죄 등의 처벌 경력이 있는 경우를 학교운영위원회의 결격사유로 추가(안 제31조의2)  ",교육문화체육관광위원회,[],위원장,,위원장,[],,0,
2,1918710,건강가정기본법 일부개정법률안,2016-05-18,위원장,2016-05-19,원안가결,제19대 (2012~2016) 제342회,"  1.  국가와 지방자치단체의 모성보호 및 부성보호의 책임을 명시하고, 육아휴직 및 유급휴가시책의 확산을 위해 노력하도록 함으로써 저출산 문제를 해결하고 건강한 가정생활의 영위와 가족의 유지·발전에 기여하려는 것임. 또한 “위기가족긴급지원”에 관한 규정을 신설하여, 위기가족에 대한 가족돌봄 및 가족 심리ㆍ정서지원 등에 관한 근거 규정을 마련하고, 법률구조, 의료지원, 복지서비스 등 연계 및 기타 위기가족에게 필요한 지원 규정을 마련하고자 함.2.  가. 국가와 지방자치단체의 의무에 현행법의 모성보호와 출산환경 조성에 더하여 부성보호와 육아환경조성 지원의무를 규정(안 제8조제2항)나. 임신·출산·수유와 관련된 국가와 지방자치단체의 현행 유급휴가시책에 더하여 육아 및 육아휴직 시책의 확산을 위해 노력하도록 규정(안 제21조제3항)다. 국가와 지방자치단체가 재난에 의해 가족의 부양·양육·보호·교육 등 가족기능이 현저하게 저하된 경우 원활한 가족기능을 수행하는 데에 필요한 지원을 할 수 있도록 하고 긴급지원의 절차 및 방법에 필요한 사항은 대통령령으로 정하도록 규정함(안 제21조의2)라. 여성가족부장관 또는 지방자치단체의 장이 위기가족긴급지원을 위해 필요한 경우 국가 및 지방자치단체, 공공기관에서 확보하고 있는 위기가족긴급지원 관련 성명, 주소, 연락처 등의 정보를 요청할 수 있으며, 수집된 정보를 가공 또는 이용할 수 있도록 근거 규정을 마련함(안 제21조의3)마. 국가와 지방자치단체는 위기가족긴급지원에 필요한 비용의 전부 또는 일부를 지원할 수 있도록 규정함 (안 제21조의4)  ",여성가족위원회,[],위원장,,위원장,[],,0,
3,1918709,아동·청소년의 성보호에 관한 법률 일부개정법률안,2016-05-18,위원장,2016-05-19,원안가결,제19대 (2012~2016) 제342회,"  1.  성범죄자 재범방지교육의 효과성 평가를 위하여 교육 이수자에 대한 재범률 조사를 실시할 수 있도록 근거를 마련하고, 성범죄자 신상정보 공개 기간을 계산함에 있어 다른 범죄로 교정 시설에 수용된 기간을 제외함으로써 아동·청소년을 성범죄로부터 두텁게 보호 하려는 것임.아울러 성범죄자 취업제한 대상기관에 위탁 교육기관을 추가하여 사각지대를 해소하고 가정방문 학습 교사 사업장을 아동·청소년 관련 기관 등에 포함하여 성범죄 경력조회 절차를 간소화하기로 함.또한 아동·청소년 관련기관 등을 운영하려는 자에 대한 지자체 장의 성범죄 경력조회 요청을 의무화하고 아동·청소년 관련 기관 취업자 등의 본인 성범죄 경력조회 근거를 마련하며, 취업제한 점검·확인 횟수를 연1회로 규정하는 등 현행법의 일부 미비점을 개선·보완하도록 하였음.2.  가. 성범죄자 재범방지교육의 효과성 평가를 위하여 교육 이수자에 대한 재범률 조사를 실시할 수 있도록 근거를 마련하고, 이를 위하여 범죄 및 수사경력자료를 관계 기관에 요청할 수 있도록 하는 등 관련 규정을 마련하려는 것임(안 제21조의2 신설).나. 성범죄자 신상정보 공개 기간을 계산함에 있어 「성폭력범죄의 처벌 등에 관한 특례법」상의 신상정보 등록기간에 넣어 계산하지 않는 기간(신상정보 등록의 원인이 된 등록대상 성범죄와 경합된 범죄, 등록대상 성범죄로 수용되어 있는 도중 재판을 받게 된 다른 범죄, 다른 범죄로 수용되어 있는 도중 등록대상 성범죄로 재판을 받게 된 경우 다른 범죄로 교정시설 또는 치료감호시설에 수용된 기간)을 제외하도록 하려는 것임(안 제49조제2항 단서).다. 성범죄자 취업제한 기관에 「초·중등교육법」에 따라 정상적인 학교생활을 하기 어려운 학생 및 학업을 중단한 학생들이 이용하는 위탁 교육기관을 추가하려는 것임(안 제56조제1항제2호 및 제57조제1항제1호).라. 아동·청소년 관련 기관 등의 설치 또는 설립인가·신고를 관할하는 지방자치단체의 장, 교육감 또는 교육장이 아동·청소년 관련 기관 등을 운영하려는 자에 대한 성범죄 경력 조회를 요청할 수 있도록 하는 현행의 임의 규정을 강행규정으로 변경하고, 가정방문학습교사를 채용하거나 위탁하는 사업장의 운영자에게 성범죄 경력조회 권한을 부여할 수 있도록 하고자 해당 사업장을 ‘아동·청소년 관련기관 등’에 포함하도록 하며, 아동·청소년 관련기관 등을 운영하려는 자 및 해당 기관에 취업하려는 자가 직접 자신의 성범죄 경력조회를 신청하여 그 결과를 제출할 수 있도록 함(안 제56조제1항부터 제4항까지).마. 중앙행정기관의 장이 최소 연 1회 이상 아동·청소년 관련기관 등에 대한 성범죄 경력자 점검·확인을 하도록 함(안 제57조제1항).  ",여성가족위원회,[],위원장,,위원장,[],,0,
4,1918705,주민등록법 일부개정법률안,2016-05-18,위원장,2016-05-19,원안가결,제19대 (2012~2016) 제342회,"  1.  주민등록번호의 유출로 인하여 발생할 수 있는 피해에 대한 국민의 불안감이 높아짐에 따라 주민등록번호가 유출되어 생명·신체 또는 재산에 대한 피해를 입을 우려가 있다고 인정되는 경우 등에는 행정자치부에 설치된 행정위원회인 주민등록번호변경위원회의 결정에 따라 주민등록번호를 변경할 수 있도록 하고,이 외에도 주민의 부담을 경감시키기 위하여 주민의 신고사항 중 특수기술에 관한 사항은 제외하도록 하는 등 현행 제도의 운영상 나타난 일부 미비점을 개선ㆍ보완하려는 것임.2.  가. 주민등록번호의 오류 등으로 주민등록번호의 정정이 필요한 경우 신청인이 주민등록지의 시장·군수 또는 구청장에게 그 정정을 신청하면 주민등록번호 부여지의 시장·군수 또는 구청장이 이를 정정할 수 있도록 하되, 주민등록번호 부여지의 시장·군수 또는 구청장과 주민등록지의 시장·군수 또는 구청장이 같은 경우에는 주민등록지의 시장·군수 또는 구청장이 직접 이를 정정할 수 있도록 함(안 제7조의3 신설).나. 주민등록번호가 유출되어 생명·신체에 대한 위해 또는 재산에 피해를 입거나 입을 우려가 있다고 인정되는 사람과 「아동ㆍ청소년의 성보호에 관한 법률」,「성폭력방지 및 피해자보호 등에 관한 법률」,「성매매알선 등 행위의 처벌에 관한 법률」,「가정폭력범죄의 처벌 등에 관한 특례법」등에 따른 피해자로서 주민등록번호의 유출로 인하여 피해를 입거나 입을 우려가 있다고 인정되는 사람은 주민등록지의 시장·군수 또는 구청장에게 주민등록번호의 변경을 신청할 수 있도록 함(안 제7조의4제1항 신설).다. 주민등록번호 변경 신청을 받은 주민등록지의 시장·군수 또는 구청장은 주민등록번호변경위원회에 주민등록번호 변경에 관한 결정을 청구하고, 주민등록번호변경위원회가 주민등록번호 변경 결정을 하는 경우에는 주민등록지의 시장·군수 또는 구청장이 신청인의 주민등록번호를 변경할 수 있도록 함(안 제7조의4제2항 및 제3항 신설).라. 범죄경력의 은폐 등을 목적으로 하는 청구에 대해서는 주민등록번호변경위원회가 그 청구를 받아들이지 않는 결정 등을 할 수 있도록 하고, 주민등록번호변경위원회의 결정에 이의가 있는 신청인에게는 이의신청권을 부여함(안 제7조의4제4항 및 제7조의5제4항 신설).마. 주민등록번호의 변경에 관한 사항을 독립해서 심사·의결하기 위하여 행정자치부에 행정위원회 성격의 주민등록번호변경위원회를 두고, 주민등록번호변경위원회에 사실조사권·출석요구권·자료제출 요구권 등을 부여하며, 위원에게 비밀유지 의무를 부과함(안 제7조의5제1항·제2항·제9항 및 제36조의3 신설).바. 주민의 부담을 경감시키기 위하여 주민의 신고 사항 중 「비상대비자원 관리법」에 따라 읍ㆍ면ㆍ동의 장이 확인 가능한 특수기술에 관한 사항은 주민의 신고사항에서 제외하도록 함(안 제10조제11항제11호 삭제).사. 합숙시설의 예시에 노인요양시설, 노숙인요양시설, 아동양육시설을 추가함(안 제12조).아. 세대원과 세대를 달리하여 거주하는 세대원의 배우자 및 직계혈족이 세대원의 위임장 없이도 그 세대원의 주민등록표 초본을 열람하거나 교부받을 수 있도록 함(안 제29조제2항제5호마목·바목 신설).자. 행정자치부장관은 주민등록번호의 진위 확인, 과태료 부과의 타당성 등을 매 2년마다 재검토하도록 함(안 제36조의2 신설).  ",안전행정위원회,[],위원장,,위원장,[],,0,
5,1918691,국민연금법 일부개정법률안,2016-05-18,위원장,2016-05-19,원안가결,제19대 (2012~2016) 제342회,"  1.  전업주부 및 경력단절여성의 연금수급권 강화를 위하여 공적연금가입자의 무소득배우자로서 국민연금 적용제외 되었던 기간에 대해서도 연금보험료 추후 납부를 허용하고,장애ㆍ사망일 당시 적용제외자인 전업주부나 경력단절여성도 일정한 가입기간이 있는 경우에는 가입자와 동일한 요건에 따라서 장애연금이나 유족연금을 지급받을 수 있도록 장애연금 및 유족연금의 수급기준을 개선하며,부부 가입자가 늘어나고 있는 현실을 반영하여 유족연금의 중복지급률을 인상 조정하고,현실적인 청년의 경제활동 시작 시점을 고려하여 유족연금을 수급받을 수 있는 자녀의 연령을 현행 19세 미만에서 25세 미만으로 확대하며,현재 군복무크레딧의 적용대상인 현역병 및 사회복무요원과 복무형태 나 소득활동의 제약 정도가 유사한 전환복무자, 상근예비역 등으로 까지 군복무크레딧의 적용대상자를 확대하고,그 밖에 등 현행 제도의 운영상 나타난 일부 미비점을 개선ㆍ보완하려는 것임.2.  가. 군 복무기간 중 6개월 이상 연금보험료를 납부하여 가입기간으로 인정된 경우에도 6개월을 가입기간에 추가 산입하도록 하고, 현역병과 사회복무요원 외에 전환복무를 한 사람, 상근예비역 등도 가입기간 추가 산입 대상자에 포함하도록 함(안 제18조).나. 노령연금 등과 유족연금의 수급권이 동시에 발생하고 수급권자가 노령연금 등을 선택하는 경우 유족연금액의 100분의 30을 추가하여 지급하도록 함(안 제56조제2항).다. 장애연금 수급기준을 질병ㆍ부상의 초진일(初診日)이 18세 이상 노령연금 지급연령 미만의 기간에 있고, 질병ㆍ부상의 초진일 당시 연금보험료를 낸 기간이 가입대상기간의 3분의 1 이상이거나 초진일 기준 최근 5년간 3년 이상 연금보험료를 납부하였거나 초진일 당시 가입기간이 10년 이상인 경우로 함(안 제67조, 현행 제85조 삭제).라. 유족연금을 노령연금 수급권자 또는 장애등급 2등급 이상인 장애연금 수급권자 외에 가입기간이 10년 이상이거나, 사망 당시 연금보험료를 낸 기간이 가입대상기간의 3분의 1 이상이거나, 사망일 기준 최근 5년간 3년 이상 연금보험료를 납부한 가입자 또는 가입자였던 자의 유족에게 지급하도록 하여 유족연금의 지급범위를 확대함.(안 제72조, 현행 제85조 삭제).마. 유족연금 지급범위 및 배우자에 대한 유족연금의 지급정지의 예외사유에 해당되는 자녀의 연령을 25세 미만으로 확대함(안 제73조제1항제2호 및 제76조제1항제2호).바. 소득이 없는 배우자 등의 국민연금 적용제외 사유에 해당하는 기간에 대해서도 연금보험료의 추후 납부를 허용함(안 제92조).사. 연금보험료의 기여금 및 부담금 지원 기준에 대통령령으로 정하는 기준 이하의 재산 및 종합소득 요건을 추가함(안 제100조의3).  ",보건복지위원회,[],위원장,,위원장,[],,0,
6,1918657,국가재정법 일부개정법률안,2016-03-29,의원,2016-05-29,임기만료폐기,제19대 (2012~2016) 제341회,"  ■   및   누리과정 예산은 영유아보육법 시행령, 유아교육법 시행령, 지방재정법 시행령 등에서 교육감의 예산 편성 및 지출 의무를 규정하고 있으나, 최근 일부 교육감들이 어린이집 누리과정 예산을 편성하지 않아 사회적 물의를 일으키고 있음.특히, 누리과정과 같이 전국적으로 실시되는 주요 교육정책의 경우 국가가 안정적으로 재원을 지원하여 국민들의 불안을 예방하고, 유아 및 초중등 학생에 대한 교육정책을 안정적으로 추진할 필요가 있음.이에 「교육세법」에 따라 부과·징수되는 국세 교육세를 재원으로 지방교육정책 지원 특별회계를 설치하고, 동 특별회계의 세출로 누리과정, 초등 돌봄교실, 방과후학교 등 안정적·계속적 지원이 필요한 사업을 지원할 수 있도록 하기 위하여 「국가재정법」에 특별회계 항목을 추가하려는 것임. 가. 특별회계를 설치할 수 있는 근거 법률 항목에 별도로 제정안을 발의한 「지방교육정책 지원 특별회계법」을 추가함(안 제4조 관련  별표1 ).나. 특별회계 및 기금 상호 간에 여유재원을 전입 또는 전출할 수 있도록 함에 있어, 제외되는 특별회계 및 기금의 항목에 지방교육재정 지원 특별회계를 추가함(안 제13조). 이 법률안은 류지영의원이 대표발의한 「지방교육정책 지원 특별회계법안」(의안번호 제18655호)의 의결을 전제로 하는 것이므로 같은 법률안이 의결되지 아니하거나 수정의결 되는 경우에는 이에 맞추어 조정되어야 할 것임.  ",기획재정위원회,"['류지영(새누리당/柳知영)', '강석훈(새누리당/姜錫勳)', '권성동(새누리당/權性東)', '김명연(새누리당/金明淵)', '김정록(새누리당/金正錄)', '김정훈(새누리당/金正薰)', '김희정(새누리당/金姬廷)', '나성린(새누리당/羅城麟)', '박윤옥(새누리당/朴允玉)', '박인숙(새누리당/朴仁淑)', '박창식(새누리당/朴昌植)', '서상기(새누리당/徐相箕)', '서용교(새누리당/徐瑢敎)', '신경림(새누리당/辛瓊林)', '안효대(새누리당/安孝大)', '원유철(새누리당/元裕哲)', '윤명희(새누리당/尹明熙)', '윤재옥(새누리당/尹在玉)', '이군현(새누리당/李君賢)', '이우현(새누리당/李愚鉉)', '이자스민(새누리당/李자스민)', '이진복(새누리당/李珍福)', '장정은(새누리당/張廷銀)', '정윤숙(새누리당/鄭潤淑)', '최봉홍(새누리당/崔奉弘)', '홍문표(새누리당/洪文杓)', '홍일표(새누리당/洪日杓)']",류지영(새누리당/柳知영),류지영,새누리당,"['류지영', '강석훈', '권성동', '김명연', '김정록', '김정훈', '김희정', '나성린', '박윤옥', '박인숙', '박창식', '서상기', '서용교', '신경림', '안효대', '원유철', '윤명희', '윤재옥', '이군현', '이우현', '이자스민', '이진복', '장정은', '정윤숙', '최봉홍', '홍문표', '홍일표']",여성,9,보수
7,1918656,지방교육자치에 관한 법률 일부개정법률안,2016-03-29,의원,2016-05-29,임기만료폐기,제19대 (2012~2016) 제341회,"  ■  누리과정 예산은 영유아보육법 시행령, 유아교육법 시행령, 지방재정법 시행령 등에서 교육감의 예산 편성 및 지출 의무를 규정하고 있으나, 최근 일부 교육감들이 어린이집 누리과정 예산을 편성하지 않아 사회적 물의를 일으키고 있음.특히, 누리과정과 같이 전국적으로 실시되는 주요 교육정책의 경우 국가가 안정적으로 재원을 지원하여 국민들의 불안을 예방하고, 유아 및 초중등 학생에 대한 교육정책을 안정적으로 추진할 필요가 있음.이에 교육세법에 따라 부과·징수되는 국세 교육세를 재원으로 지방교육정책 지원 특별회계를 설치하고, 동 특별회계의 세출로 누리과정, 초등 돌봄교실, 방과후학교 등 안정적·계속적 지원이 필요한 사업을 지원할 수 있도록 하며, 교육 및 학예에 관한 경비를 충당하는 재원으로 지방교육정책 지원 특별회계에 따른 전입금을 포함시키려는 것임. 교육 및 학예에 관한 경비를 충당하는 재원으로 지방교육정책 지원 특별회계법에 따른 지방교육정책 지원 특별회계 전입금을 포함시킴 (안 제36조).■  이 법률안은 류지영의원이 대표발의한 「지방교육정책 지원 특별회계법안」(의안번호 제18655호)의 의결을 전제로 하는 것이므로 같은 법률안이 의결되지 아니하거나 수정의결되는 경우에는 이에 맞추어 조정되어야 할 것임.  ",교육문화체육관광위원회,"['류지영(새누리당/柳知영)', '강석훈(새누리당/姜錫勳)', '권성동(새누리당/權性東)', '김명연(새누리당/金明淵)', '김정록(새누리당/金正錄)', '김정훈(새누리당/金正薰)', '김희정(새누리당/金姬廷)', '나성린(새누리당/羅城麟)', '박윤옥(새누리당/朴允玉)', '박인숙(새누리당/朴仁淑)', '박창식(새누리당/朴昌植)', '서상기(새누리당/徐相箕)', '서용교(새누리당/徐瑢敎)', '신경림(새누리당/辛瓊林)', '안효대(새누리당/安孝大)', '원유철(새누리당/元裕哲)', '윤명희(새누리당/尹明熙)', '윤재옥(새누리당/尹在玉)', '이군현(새누리당/李君賢)', '이우현(새누리당/李愚鉉)', '이자스민(새누리당/李자스민)', '이진복(새누리당/李珍福)', '장정은(새누리당/張廷銀)', '정윤숙(새누리당/鄭潤淑)', '최봉홍(새누리당/崔奉弘)', '홍문표(새누리당/洪文杓)', '홍일표(새누리당/洪日杓)']",류지영(새누리당/柳知영),류지영,새누리당,"['류지영', '강석훈', '권성동', '김명연', '김정록', '김정훈', '김희정', '나성린', '박윤옥', '박인숙', '박창식', '서상기', '서용교', '신경림', '안효대', '원유철', '윤명희', '윤재옥', '이군현', '이우현', '이자스민', '이진복', '장정은', '정윤숙', '최봉홍', '홍문표', '홍일표']",여성,9,보수
8,1918655,지방교육정책 지원 특별회계법안,2016-03-29,의원,2016-05-29,임기만료폐기,제19대 (2012~2016) 제341회,"  ■  누리과정 예산은 영유아보육법 시행령, 유아교육법 시행령, 지방재정법 시행령 등에서 교육감의 예산 편성 및 지출 의무를 규정하고 있으나, 최근 일부 교육감들이 어린이집 누리과정 예산을 편성하지 않아 사회적 물의를 일으키고 있음.특히, 누리과정과 같이 전국적으로 실시되는 주요 교육정책의 경우 국가가 안정적으로 재원을 지원하여 국민들의 불안을 예방하고, 유아 및 초중등 학생에 대한 교육정책을 안정적으로 추진할 필요가 있음.이에 교육세법에 따라 부과·징수되는 국세 교육세를 재원으로 지방교육정책 지원 특별회계를 설치하고, 동 특별회계의 세출로 누리과정, 초등 돌봄교실, 방과후학교 등 안정적·계속적 지원이 필요한 사업을 지원할 수 있도록 하려는 것임. 가. 이 법은 국가가 지방자치단체의 교육정책 운영을 지원하기 위하여 지방교육정책지원특별회계를 설치하고, 그 운영에 관한 사항을 규정함을 목적으로 함(안 제1조).나. 특별회계는 회계연도마다의 교육세법에 따른 교육세액 전액, 이 회계 외의 다른 회계 및 기금으로부터의 전입금, 차입금 및 기타 수입금을 세입으로 함(안 제3조).다. 특별회계의 세출은 유치원 및 어린이집에서 취학 직전 3년의 유아에 대한 공통 교육·보육과정 운영에 소요되는 비용 지원, 방과후학교 및 초등 돌봄교실의 운영 지원, 전국에 걸쳐 공통적으로 시행하는 지방교육정책 사업 중 교육부장관이 정하는 정책사업의 운영 지원 및 차입금의 원리금 상환을 위하여 특별시·광역시·특별자치시·도·특별자치도의 교육행정기관의 장에게 교부하는 지원금 등으로 함(안 제4조).라. 교육부장관은 시·도에 대한 당해 회계연도 예산을 집행함에 있어서는 이를 시·도의 교육행정기관의 장에게 지원하여야 하며, 시·도의 교육행정기관의 장은 교부된 예산을 다른 용도에 사용할 수 없도록 하되, 교육행정기관의 장이 누리과정 지원에 필요한 예산을 편성하지 않는 경우에는 교육부장관이 당해 회계연도의 예산을 지방자치단체의 장에게 직접 지원할 수 있도록 함(안 제6조).  ",교육문화체육관광위원회,"['류지영(새누리당/柳知영)', '강석훈(새누리당/姜錫勳)', '권성동(새누리당/權性東)', '김명연(새누리당/金明淵)', '김정록(새누리당/金正錄)', '김정훈(새누리당/金正薰)', '김희정(새누리당/金姬廷)', '나성린(새누리당/羅城麟)', '박윤옥(새누리당/朴允玉)', '박인숙(새누리당/朴仁淑)', '박창식(새누리당/朴昌植)', '서상기(새누리당/徐相箕)', '서용교(새누리당/徐瑢敎)', '신경림(새누리당/辛瓊林)', '안효대(새누리당/安孝大)', '원유철(새누리당/元裕哲)', '윤명희(새누리당/尹明熙)', '윤재옥(새누리당/尹在玉)', '이군현(새누리당/李君賢)', '이우현(새누리당/李愚鉉)', '이자스민(새누리당/李자스민)', '이진복(새누리당/李珍福)', '장정은(새누리당/張廷銀)', '정윤숙(새누리당/鄭潤淑)', '최봉홍(새누리당/崔奉弘)', '홍문표(새누리당/洪文杓)', '홍일표(새누리당/洪日杓)']",류지영(새누리당/柳知영),류지영,새누리당,"['류지영', '강석훈', '권성동', '김명연', '김정록', '김정훈', '김희정', '나성린', '박윤옥', '박인숙', '박창식', '서상기', '서용교', '신경림', '안효대', '원유철', '윤명희', '윤재옥', '이군현', '이우현', '이자스민', '이진복', '장정은', '정윤숙', '최봉홍', '홍문표', '홍일표']",여성,9,보수
9,1918654,지방교육재정교부금법 일부개정법률안,2016-03-29,의원,2016-05-29,임기만료폐기,제19대 (2012~2016) 제341회,"   누리과정 예산은 영유아보육법 시행령, 유아교육법 시행령, 지방재정법 시행령 등에서 교육감의 예산 편성 및 지출 의무를 규정하고 있으나, 최근 일부 교육감들이 어린이집 누리과정 예산을 편성하지 않아 사회적 물의를 일으키고 있음.특히, 누리과정과 같이 전국적으로 실시되는 주요 교육정책의 경우 국가가 안정적으로 재원을 지원하여 국민들의 불안을 예방하고, 유아 및 초중등 학생에 대한 교육정책을 안정적으로 추진할 필요가 있음.이에 현행 지방교육재정교부금 중 보통교부금 재원으로 포함되어 있는 교육세를 지방교육재정교부금에서 제외하며, 교육세를 재원으로 지방교육정책 지원 특별회계를 설치하여 그 세출로 누리과정, 초등 돌봄교실, 방과후학교 등 안정적·계속적 지원이 필요한 사업을 지원할 수 있도록 하려는 것임. 가. 교부금의 재원에서 「교육세법」에 따른 교육세 세입 전액을 제외하도록 함(안 제3조).나. 추경예산에 따른 증감 및 예산액과 결산액의 차액 발생에 따른 정산 대상에서 교육세분 교부금을 제외하도록 함(안 제9조).  ",교육문화체육관광위원회,"['류지영(새누리당/柳知영)', '강석훈(새누리당/姜錫勳)', '권성동(새누리당/權性東)', '김명연(새누리당/金明淵)', '김정록(새누리당/金正錄)', '김정훈(새누리당/金正薰)', '김희정(새누리당/金姬廷)', '나성린(새누리당/羅城麟)', '박윤옥(새누리당/朴允玉)', '박인숙(새누리당/朴仁淑)', '박창식(새누리당/朴昌植)', '서상기(새누리당/徐相箕)', '서용교(새누리당/徐瑢敎)', '신경림(새누리당/辛瓊林)', '안효대(새누리당/安孝大)', '원유철(새누리당/元裕哲)', '윤명희(새누리당/尹明熙)', '윤재옥(새누리당/尹在玉)', '이군현(새누리당/李君賢)', '이우현(새누리당/李愚鉉)', '이자스민(새누리당/李자스민)', '이진복(새누리당/李珍福)', '장정은(새누리당/張廷銀)', '정윤숙(새누리당/鄭潤淑)', '최봉홍(새누리당/崔奉弘)', '홍문표(새누리당/洪文杓)', '홍일표(새누리당/洪日杓)']",류지영(새누리당/柳知영),류지영,새누리당,"['류지영', '강석훈', '권성동', '김명연', '김정록', '김정훈', '김희정', '나성린', '박윤옥', '박인숙', '박창식', '서상기', '서용교', '신경림', '안효대', '원유철', '윤명희', '윤재옥', '이군현', '이우현', '이자스민', '이진복', '장정은', '정윤숙', '최봉홍', '홍문표', '홍일표']",여성,9,보수
