,의안번호,처리여부,의안명,제안자구분,제안일자,의결일자,의결결과,심사진행상태,문서,제안회기,제안이유,소관위원회,제안자,발의자,발의자_한글,제안정당,제안자_한글,성별,여성의원 수
0,2024984,처,일제하 일본군위안부 피해자에 대한 보호ㆍ지원 및 기념사업 등에 관한 법률 일부개정법률안,위원장,2020-05-20,2020-05-20 00:00:00,원안가결, ,의안원문,제20대 (2016~2020) 제378회,"  대안의  생활안정지원대상자에게 「의료급여법」에 따른 본인 부담금 및 비급여비용에 대한 의료비를 지원하도록 하고, 여성가족부장관은 매년 생활안정지원대상자의 생활실태 및 정책만족도 등을 파악하기 위한 실태조사를 실시하도록 함.한편, 일본군위안부 피해자의 명예 회복과 진상 규명을 위한 조사·연구 등을 수행하는 여성인권평화재단의 설립과 관련하여서는, 동 기관의 설치가 필요하다고 보았으나, 동 기관의 위상 등에 대하여 폭넓은 의견수렴과 공감대 형성이 필요하다고 보아 이번 법률안(대안)에는 그 내용을 직접적으로 반영하지 아니하고 부대의견을 채택하기로 하였음.대안의  가. 생활안정지원대상자에게 「의료급여법」에 따른 본인 부담금 및 비급여비용에 대한 의료비를 지원함(안 제4조).나. 여성가족부장관은 매년 생활안정지원대상자의 생활실태 및 정책만족도 등을 파악하기 위한 실태조사를 실시하고 시·도지사는 적극 협조하여야 함(안 제10조).  ",여성가족위원회,,위원장,,위원장,[], ,0
1,2024980,처,양육비 이행확보 및 지원에 관한 법률 일부개정법률안,위원장,2020-05-20,2020-05-20 00:00:00,원안가결, ,의안원문,제20대 (2016~2020) 제378회,"  대안의  한시적 양육비 긴급지원이 이루어진 경우 양육비 채무자에게 국세 체납처분의 예에 따라 징수할 수 있도록 하고, 한시적 양육비가 지급된 경우 본인 동의 없이 신용정보·보험정보를 요청할 수 있도록 하며, 양육비 채무자가 감치명령 결정이 있음에도 양육비를 이행하지 않는 경우 지방경찰청장에게 양육비 채무자의 운전면허 정지처분을 요청할 수 있도록 함.대안의  가. 한시적 양육비 긴급지원이 이루어진 경우 양육비 채무자에게 국세 체납처분의 예에 따라 징수할 수 있도록 함(안 제14조제5항).나. 한시적 양육비 긴급지원이 이루어진 경우 본인 동의 없이 신용정보·보험정보를 요청할 수 있도록 함(안 제17조제1항).다. 양육비 채무자에 대한 감치명령 결정이 있는 때에는 감치집행을 지원하기 위하여 현장지원반을 구성·운영할 수 있도록 함(안 제18조의2).라. 이행관리원의 장은 양육비 수령 여부를 확인하기 위한 양육비 전용 계좌 개설 등 필요한 조치를 할 수 있도록 함(안 제19조제3항).마. 양육비 채무자가 감치명령 결정이 있음에도 양육비를 이행하지 않는 경우 지방경찰청장에게 양육비 채무자의 운전면허 정지처분을 요청할 수 있도록 함(안 제21조의3).  ",여성가족위원회,,위원장,,위원장,[], ,0
2,2024979,처,아동·청소년의 성보호에 관한 법률 일부개정법률안,위원장,2020-05-20,2020-05-20 00:00:00,원안가결, ,의안원문,제20대 (2016~2020) 제378회,"  2. 대안의  아동？청소년 음란물 범죄의 규모와 형태가 갈수록 교묘해지고 있지만, 우리나라의 아동 대상 성범죄에 대한 처벌이 지나치게 관대해 실효성이 떨어진다는 비판이 커지고 있는 바, 이에 아동？청소년 대상 성범죄의 경우 형의 하한을 설정하고, 예비·음모 및 구입·시청·광고·소개하는 경우에도 처벌받도록 하여 경각심을 제고할 필요가 있음.또한, 아동·청소년을 대상으로 하는 음란물은 그 자체로 아동·청소년에 대한 성착취 및 학대를 의미하는 것임에도 불구하고, 막연히 아동·청소년을 ‘이용’하는 음란물의 의미로 가볍게 해석되는 경향이 있어 온 바, 이에 “아동·청소년이용음란물”을 “아동·청소년성착취물”이라는 용어로 변경해 아동청소년이용음란물이 ‘성착취·성학대’ 임을 명확하게 할 필요가 있음.그 밖에 아동·청소년성착취물의 배포·제공·광고·소개 및 구입·소지·시청 등의 죄에 대한 벌금형을 삭제함에 따라 이를 조정하고, 아동·청소년이용음란물 범죄를 수사기관에 신고한 자에 대해 신고포상금을 지급할 수 있도록 하여 아동·청소년의 성보호를 강화할 필요가 있음.3. 대안의  가. ‘아동·청소년이용음란물’을 ‘아동·청소년성착취물’로 그 용어를 변경함(안 제2조제5호, 안 제12조, 안 제17조)나. 아동ㆍ청소년에 대한 강간ㆍ강제추행 등의 죄를 범할 목적으로 예비 또는 음모한 경우 처벌하도록 함(안 제7조의2 신설).다. 아동·청소년성착취물의 제작·배포 등에 관한 죄의 형량을 강화함(안 제11조).라. 아동·청소년성착취물의 배포·제공·광고·소개 및 구입·소지·시청 등의 죄에 대한 벌금형이 삭제됨에 따라 이를 조정함(안 제56조제1항).마. 아동·청소년성착취물의 제작·배포 등에 관한 죄를 신고한 사람에게 포상금을 지급할 수 있도록 함(안 제59조제1항).  ",여성가족위원회,,위원장,,위원장,[], ,0
3,2024978,처,가족친화 사회환경의 조성 촉진에 관한 법률 일부개정법률안,위원장,2020-05-20,2020-05-20 00:00:00,원안가결, ,의안원문,제20대 (2016~2020) 제378회,"  대안의  가족친화 사회환경 조성 기본계획이 수립된 경우 여성가족부장관은 지체 없이 국회 소관 상임위원회에 보고하도록 하고, 관계 중앙행정기관의 장 및 지방자치단체의 장에게 알리도록 하며, 가족친화지원센터의 지정취소 기준을 법률에 명시하고, 가족친화지원센터의 지정을 취소하려는 경우 청문을 실시하도록 함.대안의  가. 가족친화 사회환경 조성 기본계획이 수립된 경우 여성가족부장관은 지체 없이 국회 소관 상임위원회에 보고하도록 하고, 관계 중앙행정기관의 장 및 지방자치단체의 장에게 알리도록 함(안 제5조제3항).나. 가족친화 사회환경 조성사업 평가 실시자에 특별자치시장을 포함(안 제10조).다. 가족친화지원센터의 지정취소 기준을 법률에 명시함(안 제19조제4항).라. 가족친화지원센터의 지정취소 시 청문을 실시하도록 함(안 제21조).  ",여성가족위원회,,위원장,,위원장,[], ,0
4,2024977,처,가정폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안,위원장,2020-05-20,2020-05-20 00:00:00,원안가결, ,의안원문,제20대 (2016~2020) 제378회,"  대안의  배우자가 대한민국 국민이 아닌 외국인 가정폭력 피해자도 외국인보호시설의 입소대상자로 확대하고, 국가 등의 책무에 가정폭력을 목격하거나 피해를 당한 아동을 위한 상담？치료프로그램 제공을 포함하도록 함.대안의  가. 배우자가 대한민국 국민이 아닌 외국인 가정폭력피해자도 외국인보호시설에 입소할 수 있도록 함(안 제7조의2제1항).나. 가정폭력의 예방·방지와 피해자의 보호·지원을 위한 국가 등의 책무에 가정폭력을 목격하거나 피해를 당한 아동의 회복을 위한 상담·치료프로그램 제공을 추가함(안 제4조).  ",여성가족위원회,,위원장,,위원장,[], ,0
5,2024963,처,정보통신망 이용촉진 및 정보보호 등에 관한 법률 일부개정법률안,위원장,2020-05-20,2020-05-20 00:00:00,원안가결, ,의안원문,제20대 (2016~2020) 제378회,"  대안의  가. 현행법상 금지되는 정보통신망 침해행위에 최근 정보통신망의 정상적인 보호·인증 절차를 우회하여 정보통신망에 접근할 수 있도록 하는 프로그램이나 기술적 장치 등(이하 “백도어”라 함)를 정보통신망 또는 정보시스템에 설치하는 행위를 명확히 규정하고 있지 않아 백도어로 인한 개인정보 유출 등의 피해를 사전에 방지하지 못할 우려가 있음.나. 정보통신망에 연결되어 정보를 송·수신할 수 있는 기기·설비·장비(이하 “정보통신망연결기기등”이라 함)와 관련된 침해사고가 국민의 생명·신체·재산에 큰 피해로 이어질 우려가 커지고 있음에도 불구하고, 현행법은 정보통신망연결기기등의 정보보호에 관한 대책을 마련하지 않고 있음.다. 최근 인공지능 기술을 이용하여 만든 거짓의 음향·화상 또는 영상 등의 딥페이크(Deep Fake) 정보가 인터넷에 유통되는 사례가 늘어나고 있음. 딥페이크 정보가 정교할수록 이용자가 해당 정보의 거짓 여부를 판별하기 어려우므로 이를 식별할 수 있는 기술을 개발·보급하는 것이 시급함.라. 최근 발생한 텔레그램 N번방 사건처럼 불법촬영물의 유통으로 인한 피해자의 2차 피해를 방지하기 위해서는 정보통신서비스 제공자의 신속한 삭제와 접속 차단이 우선되어야 함. 특히, 해외 정보통신서비스 제공자의 경우 해외사업자라는 이유로 국내법을 적용하기 어려운 실정임. 이에 정보통신서비스 제공자에게 불법촬영물등에 대한 유통방지 책임자 지정의무와 투명성 보고서 제출의무를 부과하고 이를 이행하지 않을 경우 과태료 등을 부과하도록 하는 한편, 해외사업자에게도 불법촬영물 등을 포함한 불법정보의 유통금지에 관한 의무를 보다 명확히 부과하기 위해 역외적용 규정을 도입하고자 함.대안의  가. 정보통신망의 정상적인 보호·인증 절차를 우회하여 정보통신망에 접근할 수 있도록 하는 프로그램이나 기술적 장치 등을 정보통신망 또는 이와 관련된 정보시스템에 설치하여 개인정보를 유출하는 행위로 발생한 사태를 침해사고로 규정함(안 제2조제1항제7호).나. 과학기술정보통신부장관 또는 방송통신위원회가 마련하는 시책에 정보통신망을 통하여 유통되는 정보 중 인공지능 기술을 이용하여 만든 거짓의 음향·화상 또는 영상 등의 정보를 식별하는 기술의 개발·보급을 포함하도록 함(안 제4조제2항제7호의2 신설).다. 국외에서 이루어진 행위도 국내 시장 또는 이용자에게 영향을 미칠 경우 이 법을 적용하도록 함(안 제5조의2 신설).라. 정보통신망연결기기등에 대한 정보보호지침을 마련하여 권고하고, 정보통신망연결기기등과 관련된 침해사고가 발생하는 경우 관계 중앙행정기관에게 피해 확산 방지 조치를 요청하는 등 침해사고에 대한 대응방안을 마련하는 한편, 정보통신망연결기기등에 대한 정보보호인증을 실시할 수 있도록 함(안 제45조, 안 제48조의5 및 제48조의6 신설 등).마. 정보통신서비스 제공자 중 대통령령으로 정하는 기준에 해당하는 자는 불법촬영물등 유통방지 책임자를 지정하도록 함(안 제44조의9 및 제76조제2항제4호의4 신설).바. 정보통신서비스 제공자 중 대통령령으로 정하는 기준에 해당하는 자는 방송통신위원회에 매년 투명성 보고서를 제출하도록 함(안 제64조의5 및 제76조제3항제25호 신설).  ",과학기술정보방송통신위원회,,위원장,,위원장,[], ,0
6,2024959,처,전기통신사업법 일부개정법률안,위원장,2020-05-20,2020-05-20 00:00:00,원안가결, ,의안원문,제20대 (2016~2020) 제378회,"  2. 대안의  일부 기간통신사업자의 서비스별 요금 등에 관한 이용약관에 대하여 인가제로 운영하던 것을 신고제로 전환하되, 전기통신서비스의 요금이나 이용조건 등이 부당하게 차별적이어서 이용자의 이익이나 공정한 경쟁을 해칠 우려가 크다고 인정되는 경우에는 신고를 반려할 수 있도록 함으로써 이용자 보호를 강화함.이용자 수, 트래픽 양 등이 대통령령으로 정하는 기준에 해당하는 부가통신사업자는 서비스 안정수단의 확보, 이용자 요구사항 처리 등 필요한 조치를 취하도록 하고, 국내에 주소 또는 영업소가 없는 부가통신사업자로서 이용자 수, 트래픽 양 등이 대통령령으로 정하는 기준에 해당하는 자는 이용자 보호 업무 등을 대리하는 자를 서면으로 지정하도록 함으로써 이용자를 두텁게 보호하고자 함.부가통신사업자 등에게 자신이 운영·관리하는 정보통신망에 「성폭력범죄의 처벌 등에 관한 특례법」 제14조에 따른 촬영물, 제14조의2에 따른 편집물？합성물？가공물 및 「아동·청소년의 성보호에 관한 법률」 제2조제5호에 따른 아동·청소년이용음란물에 대해 삭제· 접속차단 등 유통방지 조치의무를 부과하고, 대통령령으로 정하는 기술적？관리적 조치 의무도 부과하며, 유통방지 조치 또는 기술적？관리적 조치 의무 위반에 대한 형사처벌도 가능하도록 하여 불법촬영물 등의 유포, 확산을 방지하고자 함.또한 전기통신사업의 경쟁 촉진을 위하여 도매제공의무사업자가 다른 전기통신사업자에게 자신의 전기통신서비스를 제공하거나 전기통신서비스의 제공에 필요한 전기통신설비의 전부 또는 일부를 이용하도록 허용하여야 하는 제도의 유효기간을 2022년 9월 22일까지 연장하려는 것임.3. 대안의  가. 이용약관에 대한 인가제를 신고제로 전환하되, 이용자 보호 등을 위하여 전기통신서비스의 요금이나 이용조건 등이 차별적이어서 이용자의 이익이나 공정한 경쟁을 해칠 우려가 크다고 인정되는 경우에는 신고를 반려할 수 있도록 함(안 제28조제3항).나. 부가통신사업자 등에게 「성폭력범죄의 처벌 등에 관한 특례법」 제14조에 따른 촬영물 등에 대해 삭제· 접속차단 등 유통방지 조치의무 및 기술적？관리적 조치 의무를 부과함(안 제22조의5제1항 및 제2항).다. 이용자 수, 트래픽 양 등이 대통령령으로 정하는 기준에 해당하는 부가통신사업자는 서비스 안정수단의 확보, 이용자 요구사항 처리 등 필요한 조치를 취하도록 함(안 제22조의7).라. 국내에 주소 또는 영업소가 없는 부가통신사업자로서 이용자 수, 트래픽 양 등이 대통령령으로 정하는 기준에 해당하는 자는 이용자 보호 업무 등을 대리하는 국내대리인을 지정하도록 함(안 제22조의8).마. 도매제공의무제도의 유효기간을 2022년 9월 22일까지 연장함(부칙 제2조).  ",과학기술정보방송통신위원회,,위원장,,위원장,[], ,0
7,2024943,처,고용보험법 일부개정법률안,위원장,2020-05-20,2020-05-20 00:00:00,원안가결, ,의안원문,제20대 (2016~2020) 제378회,  대안의  현재 예술인은 수입이 불규칙하고 소득이 있는 기간 이외에 사실상 실업상태인 예술 활동 준비기간이 많아 실업상태에 있는 기간 동안 생활안정을 기할 필요가 있으나 「고용보험법」이 적용되지 않아 이 기간 동안 실업급여를 받을 수 있는 근거가 없으므로 예술인이 실업 상태에 있는 경우 생활 안정을 기할 수 있도록 특례를 신설함.또한 예술인이 출산 또는 유산·사산을 이유로 노무를 제공할 수 없는 경우에 출산전후급여 등을 지급하여 출산에 따른 경제적 부담을 덜어주고자 함.대안의  가. 「예술인 복지법」에 따른 예술인 등 대통령령으로 정하는 사람 중 문화예술용역 관련 계약을 체결하고 다른 사람을 사용하지 아니하고 자신이 직접 노무를 제공하는 사람을 예술인으로 규정함(안 제77조의2).나. 예술인인 피보험자에 대한 구직급여 요건(안 제77조의3)1) 이직일 이전 24개월 동안의 피보험 단위기간이 통산하여 9개월 이상일 것을 규정함.2) 예술인이 이직할 당시 대통령령으로 정하는 바에 따른 소득감소로 인하여 이직하였다고 직업안정기관의 장이 인정하는 경우에는 수급자격을 인정함.다. 예술인인 피보험자가 출산 또는 유산·사산을 이유로 노무를 제공할 수 없는 경우에는 출산전후급여를 지급하도록 규정함(안 제77조의4).  ,환경노동위원회,,위원장,,위원장,[], ,0
8,2024926,처,아동·청소년의 성보호에 관한 법률 일부개정법률안,의원,2020-05-07,2020-05-29 00:00:00,임기만료폐기, ,의안원문,제20대 (2016~2020) 제377회,"   최근 N번방 사건으로 불리는 텔레그램을 통한 아동·청소년 성착취 사건으로 인해 사회적 공분이 크게 일어남.그런데 N번방 사건의 가해자에 적용되는 범죄 혐의가 실제 범죄의 심각성을 충분히 반영하지 못하고 있다는 지적이 있음. 여성에 대한 성착취물을 공유하는 텔레그램 성착취방을 운영한 자는 많은 사람들에게 성착취물을 볼 수 있도록 서비스를 제공하여 성착취물 제작에 준하는 무거운 죄를 범했음에도 불구하고 성착취물의 제작에 관한 범죄 성립 요건이 되지 못함.또한 다크웹(IP추적이 불가능하도록 고안된 인터넷 영역)에서 아동·청소년을 대상으로 성행위를 하는 영상을 공유한 웹사이트 운영자에 대한 판결에서도 온라인 플랫폼을 관리하는 자의 역할로서 협소하게 범죄를 해석한 사례가 있음. 법원은 이 운영자가 아동·청소년이용음란물이 유통되는 웹사이트를 단순히 관리하는 자의 역할에 불과한 것으로 보고, 1년 6개월의 징역형을 선고로 그친 바 있음.그러나 아동·청소년이용음란물이 공유되는 웹사이트, 텔레그램방 등 온라인 플랫폼의 운영은 타인의 아동·청소년이용음란물 제작을 교사·방조함은 물론 아동·청소년이용음란물의 제작이라는 범죄에 적극 가담하여 주도적인 역할을 한 것에 해당한다고 볼 수 있는 행위임.한편, 아동·청소년이용음란물을 제작·수입 또는 수출한 자에 대하여 무기징역 또는 5년 이상의 유기징역에 처하고 있음. 아동·청소년이용음란물이 공유되는 온라인 플랫폼을 제작·운영한 자에 대해서도 아동·청소년이용음란물 제작에 따른 처벌과 동일하게 처벌할 필요가 있으며, 아동·청소년이용음란물과 관련한 범죄행위에 대하여 사회적 경각심을 제고시킬 방안을 마련할 필요가 있음.따라서 ‘아동·청소년이용음란물’의 용어를 아동·청소년을 성적으로 착취하는 범죄행위의 대상임을 명확하게 표현하기 위하여, ‘아동·청소년성착취물’로 변경하고, ‘아동·청소년성착취물’의 제공을 매개하는 운영활동을 한 자에 대해 처벌할 수 있도록 하는 등 ‘아동·청소년성착취물’ 관련 범죄에 대한 처벌을 일괄적으로 강화하려는 것임. 가. “아동·청소년이용음란물” 용어를 “아동·청소년성착취물”로 변경함(안 제2조제5호 등).나. “아동·청소년성착취물”을 직접 제작하지 아니하더라도 “아동·청소년성착취물”의 제공을 매개하는 운영활동을 한 자에 대하여 무기징역 또는 5년 이상의 유기징역에 처할 수 있도록 함(안 제11조제1항).다. 영리를 목적으로 “아동·청소년성착취물”을 판매·대여한 자 등에 대한 처벌을 현행 10년 이하의 징역에서 15년 이하의 징역으로 강화함(안 제11조제2항).라. “아동·청소년성착취물” 소지자에 대한 처벌을 현행 1년 이하의 징역 또는 2천만원 이하의 벌금에서 3년 이하의 징역 또는 3천만원 이하의 벌금으로 강화함(안 제11조제5항).  ",여성가족위원회,"['권미혁(더불어민주당/權美赫)', '김병관(더불어민주당/金炳官)', '김병기(더불어민주당/金炳基)', '김상희(더불어민주당/金相姬)', '김영주(더불어민주당/金榮珠)', '남인순(더불어민주당/南仁順)', '맹성규(더불어민주당/孟聖奎)', '유승희(더불어민주당/兪承希)', '인재근(더불어민주당/印在謹)', '한정애(더불어민주당/韓貞愛)', '홍익표(더불어민주당/洪翼杓)']",권미혁(더불어민주당/權美赫),권미혁,더불어민주당,"['권미혁', '김병관', '김병기', '김상희', '김영주', '남인순', '맹성규', '유승희', '인재근', '한정애', '홍익표']",여성,7
9,2024925,처,특정강력범죄의 처벌에 관한 특례법 일부개정법률안,의원,2020-05-07,2020-05-29 00:00:00,임기만료폐기, ,의안원문,제20대 (2016~2020) 제377회,"    및  최근 N번방 사건으로 불리는 텔레그램을 통한 아동？청소년 성착취 사건으로 사회적 공분이 크게 일어나 가해자들에 대한 신상공개 요구가 큼.텔레그램 등 온라인 플랫폼을 통한 성착취물 관련 범죄는 성착취물이 대량으로 유통될 뿐 아니라 수익구조의 핵심이 되어 미성년자 학대나 약취？유인, 인신매매 등 중범죄가 함께 이뤄지고 있는 실정임. 미성년자 성착취물 관련 범죄는 제작, 유통을 가리지 않고 직접적인 성폭력 범죄 못지않게 중대하고 심각한 범죄라 할 것임.현행법은 성범죄 중 강간등 상해？치상이나 강간등 살인？치사와 같이 중한 결과가 발생한 경우, 흉기를 휴대하거나 2인 이상이 합동하는 등 수법이 잔인한 경우 및 동종의 실형 전과가 2회 이상 있는 경우만을 특정강력범죄에 포함시키고 있음.그러므로 「아동？청소년의 성보호에 관한 법률」에 따른 아동？청소년이용음란물의 제작？배포 등의 죄를 특정강력범죄에 포함시켜 범죄의 중대성에 대한 경각심을 주고, 집행유예의 결격기간, 증인에 대한 신변안전조치, 피해자 보호 및 피의자의 신상공개 등의 조치를 할 수 있도록 하려는 것임(안 제2조제1항제7호, 제8조).  ",법제사법위원회,"['권미혁(더불어민주당/權美赫)', '김병관(더불어민주당/金炳官)', '김병기(더불어민주당/金炳基)', '김상희(더불어민주당/金相姬)', '김영주(더불어민주당/金榮珠)', '남인순(더불어민주당/南仁順)', '맹성규(더불어민주당/孟聖奎)', '유승희(더불어민주당/兪承希)', '인재근(더불어민주당/印在謹)', '한정애(더불어민주당/韓貞愛)', '홍익표(더불어민주당/洪翼杓)']",권미혁(더불어민주당/權美赫),권미혁,더불어민주당,"['권미혁', '김병관', '김병기', '김상희', '김영주', '남인순', '맹성규', '유승희', '인재근', '한정애', '홍익표']",여성,7
