,의안 ID,의안명,의안번호,처리결과,처리구분,의결일자,심사진행상태,제안일자,제안자구분,주요내용,소관위원회
0,13541,접경지역개발지원에관한특례법안(이한동의원등 6인 외 22인),141436,임기만료폐기,처리의안,1996-05-29,접수,1996-02-05,의원,"■ 제안이유

민족의 비극인 6.25전쟁이후 군사분계선에 인접한 접경지역은 그 군사적 요인과 자연환경으로 인하여 군사시설
보호법, 자연공원법등 여러 법령에 의한 각종 규제로 발전이 현저히 둔화되어 다른 지역에 비하여 상대적으로 
낙후되어 있는 실정임.
접경지역은 경제가 황폐할 뿐만 아니라 교육·문화·의료 등의 문화·복지분야에서도 다른 지역에 비해 소외되
어 주민들의 생활이 극히 불편하며, 특히 전방지역으로서 군사시설물이 많이 설치되어 있고 군인과 그 가족들
이 많이 거주하고 있음에도 군주둔에 따른 주민지원은 거의 없어 지역주민의 이탈이 계속되고 있음.
국토의 균형개발과 통일을 위한 지역기반의 조성 및 남북교류의 거점 확보, 그리고 지역주민의 생활향상을 위
하여 접경지역의 개발을 특별지원하려는 것임.


■ 주요골자

1.  군사분계선에 인접하는 시·군을“접경지역”으로 정의하고, 접경지역의 개발을 촉진함으로써 국토의 균형 
    있는 발전과 주민의 생활향상에 이바지하며, 통일을 위한 거점을 확보함을 이 법의 목적으로 함(안 제1조, 
    제2조제1호)

2.  통일원장관은 국무회의의 심의를 거쳐 접경지역중 남북교류를활성화하고 통일의 거점에 적합한 지역을 평
    화시로 지정할 수 있도록 함(안 제4조)
    
3.  접경지역의 도지사는 교통시설·산업기반시설·문화복지시설의 확충 등을 내용으로 하는 개발계획을 수립
    하도록 하고, 대통령의 승인을 얻어 공고하도록 함(안 제5조, 제6조)

4.  개발사업을 시행하고자 하는 자는 도지사의 승인을 얻도록 하고, 도지사는 농어민단체에 대하여 우선적으
    로 사업의 승인을 하도록 함(안 제8조)

5.  접경지역의 개발사업에 대하여는 환경영향평가법의 특례를 인정하여 도지사가 환경영향평가협의를 하도록 
    하고, 또한 산림법의 특례를 두어 보전림지의 전용허가를 받은 자에 대하여 국유림을 대부·사용허가할 수 
    있도록 함(안 제9조, 제10조)

6.  접경지역에는 관광진흥법에 의한 허가요건을 완화하여 카지노업의 허가를 할 수 있도록 하되, 이익金 중 
    일부를 접경지역과 관련된 관광진흥 및 지역개발을 위하여 사용하도록 함(안 제11조)

7.  접경지역의 개발계획을 효율적으로 시행하기 위하여 개발사업의 시행승인을 얻은 경우에는 산림법의 입목
    벌채허가, 하천법의 하천점용허가등 18개 법률의 인·허가 등을 받은 것으로 보도록 하여 각종 인·허가 
    절차를 간략하게 함(안 제12조)

8.  접경지역의 개발을 촉진하는 반면에 이 지역이 자연자원의 보고임을 고려하여 도지사는 특히 자연환경보전
    기본방침을 수립하도록 하고, 특별관리지구로 지정한 곳에서는 개발을 제한할 수 있도록 하며, 접경지역안
    에 서식하는 희귀동식물 및 광물 등을 보존자원으로 지정하여 보호하도록 함(안 제13조 내지 제15조)

9.  접경지역 개발사업의 효율적인 추진을 지원하기 위하여 국무총리소속하에 접경지역개발지원위원회를 두도
    록 함(안 제16조)

10. 접경지역에 국립대학을 두도록 하고, 당해 지역의 주민 및 군인이 우선적으로 입학하도록 함(안 제18조)

11. 기타 접경지역의 개발을 촉진하기 위하여 국고보조金을 인상지원할 수 있도록 하고, 각종 부담金을 감면하
    도록하는 등 접경지역의 개발사업을 위한 특별지원 규정을 둠(안 제19조 내지 제25조)

12. 이 법은 2005년 12월 31일까지 효력을 가지도록 함(안 부칙 제2항)
",-
21,13540,공직선거및선거부정방지법중개정법률안(내무위원장),141435,원안가결,처리의안,1996-01-27,접수,1996-01-27,위원장,"■ 제안경위

1.  1996년1월26일 권해옥 의원외 3인이 공직선거 및 선거불정방지법중개정법률안을 위원회안으로 제안할 것
    을 서면동의로 발의함.

2.  1996년1월26일 제178회국회(임시회) 제2차 내무위원회에서 공직선거 및 선거불정방지법중개정법률안을 위
    원회안으로 채택키로 가결함.



■ 제안이유

공직선거및선거불정방지법 제25조제2항에 의한 별표1 국회의원지역선거구구역표(1995.8.4 법률제4957호로 개정
공포됨)에 대해서 1995.12.27 헌법재판소가 위헌결정을 함에 따라서 헌법재판소의 결정취지에 맞게 국회의원지
역선거구구역표를 개정하려는 것임.



■ 주요골자

1.  국회의원지역선거구구역표를 개정함(안 제25조제2항의 별표 1)

    가. 부산광역시 국회의원지역선거구구역표중 중구선거구와 동구선거구를 통합하고, 해운대구기장군선거구
        를 해운대구기장군갑·을선거구로 분리하며, 북구선거구와 강서구선거구의 일부지역을 조정하여 각각 
        북구강서구갑선거구와 북구강서구을선거구로 함.
    나. 인천광역시 국회의원지역선거구구역표중 계양구선거구와 강화군선거구의 일부지역을 조정하여 각각 계
        양구강화군갑선거구와 계양구강화군을선거구로 함.
    다. 강원도 국회의원지역선거구구역표중 태백시선거구와 정선군선거구를 통합함.
    라. 충청북도 국회의원지역선거구구역표중 보은군영동군선거구와 옥천군선거구를 통합함.
    마. 충청남도 국회의원지역선거구구역표중 금산군선거구와 論산군선거구를 통합함.
    바. 전라남도 국회의원지역선거구구역표중 보성군선거구와 화순군선거구를 통합하고 장흥군선거구와 靈암
        군선거구를 통합하며 목포시선거구와 신안군선거구의 일부지역을 조정하여 목포시신안군갑선거구와 목
        포시신안군을선거구로 함.
    사. 경상북도 국회의원지역선거구구역표 중 문경시선거구와 醴천군선거구를 통합하고 영양군봉화군선거구
        와 울진군선거구를 통합함.
    아. 경상남도 국회의원지역선거구구역표 중 울산시남구선거구를 남구갑선거구와 남구을선거구로 분리하고, 
        거창군선거구와 합천군선거구를 통합함.

2.  국회의원지역선거구를 획정함에 있어서 1996년4월11일 실시되는 국회의원선거에 있어서 인구편차를 최소
    화하기 위하여 구·시·군의 일부를 분할하여 다른 선거구에 포함시킬 수 있도록 경과규정을 둠(안 부칙
    제2항)



■ 기타사항

제178회국회(정기회) 제2차 본회의(1996.1.27)상정·의결",-
24,13537,정부조직법중개정법률안(손세일의원등 5인 외 60인),141432,폐기,처리의안,1996-01-27,접수,1996-01-16,의원,"■ 제안이유 및 주요골자

중소기업의 경영안정과 경쟁력을 제고하기 위하여 효율적인 중소기업지원체제를 구축할 수 있도록 중소기업부
를 신설하려는 것임.



■ 기타사항

제178회국회(임시회) 제1차 행정위원회(1996.1.26)상정·제안설명·검토보고·찬반토론·의결
제178회국회(정기회) 제2차 본회의(1996.1.27)보고
",-
42,13536,정보공개법안(김덕규의원등 5인 외 60인),141431,임기만료폐기,처리의안,1996-05-29,접수,1996-01-09,의원,"■ 제안이유

공공기관이 보유하거나 관리하는 정보의 공개를 의무화하고, 국민이 정보의 공개를 청구하는데 필요한 사항을 
규정함으로써 국민의 알 권리를 보장하고 행정의 공정성을 확보하여 민주적인 정보공개제도를 확립하기 위하여 
이 안을 제안하는 것임.

■ 주요골자

1.  공공기관이 보유·관리하는 정보는 공개를 원칙으로 하고, 최소한의 예외를 인정하도록 함(안 제2조)

2.  정보공개 청구권자는 모든 국민과 국내에 3년 이상 거주하는 외국인으로서 대통령령이 정하는 자로 함(안 
    제4조)

3.  정보공개 의무기관은 국가, 지방자치단체, 기타공공단체 등 공공기관으로 함(안 제5조)

4.  공개의 대상이 되는 정보는 공공기관이 직무상 작성하거나 취득하여 보유·관리하고 있는 문서·도화·사
    진 마이크로필름·녹음테이프·컴퓨터에 의해 처리되는 매체에 기록된 상황 등으로 함(안 제6조)

5.  공개제외대상이 되는 정보는 국가의 안전이나 외교관계를 명백하게 해한다고 인정되는 정보, 법률로 공개
    를 면제받은 정보, 범죄의 수사와 재판에 영향을 미치는 정보, 개인의 사생활의 비밀과 자유를 침해하는 
    정보, 기업 등의 이익을 침해하는 정보로 함(안 제7조)

6.  정보공개청구는 당해 공공기관의 장에게 문서로써 하도록 함(안 제11조)

7.  정보공개청구를 받은 공공기관은 10일이내에 공개여부를 결정·통지하여야 하고, 이를 20일까지 연장할 수 
    있도록 함(안 제12조 및 제13조)

8.  정보공개거부결정에 대한 不복은 그 거부결정을 한 기관에 이의신청을 할 수 있고, 이의신청 기각결정에 
    대한 不복은 정보공개위원회에 심사청구를 할 수 있으며, 심사청구 기각재결에 대한 不복은법원에 정보공
    개소송을 제기할 수 있도록 함(안 제17조, 제18조 및 제23조)

9.  심사청구를 심리·재결하고, 정보의 수집·보존·관리·공개 및 그 절차 등에 관한 개선방안 연구 등을 위
    하여 국회·정부·대법원·헌법재판소·중앙선거관리위원회에 각 정보공개위원회를 설치하도록 함(안 제28
    조)

10. 정보공개위원회의 위원은 9인으로 하고, 그 위원은 국회의장·대통령·대법원장·헌법재판소장·중앙선거
    관리위원회위원장이 국회의 동의를 받아 임명하도록 함(안 제30조)

11. 정보공개위원회위원의 자격은 판사·검사·변호사의 자격이 있는 자,공인된 대학에서 조교수 이상의 직에 
    있었던 자, 3급 이상의 공무원직에 5년 이상 근무한 경력이 있는 자, 기타 학식이 있고 사회적 신망이 있
    는 자로 함(안 제30조)

12. 정보공개제도를 보호하고 그 건전한 발전을 위하여 정보공개위원회의 직무를 방해한 자, 관계참고인이 정
    보공개위원회의 출석요구에 不응하거나 자료제출명령에 불응한 때, 선서를 한 관계참고인이 허위진술을 한
    때에 처벌하도록 함(안 제36조, 제38조 및 제39조)
",-
60,13535,정부조직법중개정법률안(정부),141430,원안가결,처리의안,1996-01-27,접수,1996-01-09,정부,"■ 제안이유 및 주요골자

체계적이고 효율적인 중소기업지원체제를구축하고 중소기업의 경쟁력을 제고하기 위하여 중소기업청을 신설하
려는 것임.



■ 기타사항

제178회국회(임시회) 제1차 행정위원회(1996. 1.26)상정·제안설명·검토보고·찬반토론·의결
제178회국회(정기회) 제2차 본회의(1996. 1.27)상정·의결",-
63,13529,헌정질서파괴범죄의공소시효등에관한특례법안(법제사법위원장),141428,원안가결,처리의안,1995-12-19,접수,1995-12-19,위원장,"■ 제안경위

1995년 9월 22일 박상천, 조순형, 신기하, 조홍규, 강철선, 박광태, 오 탄, 李길재, 李원형, 林복진, 장석화, 
정상용의원외 53인이 발의한 헌법파괴범죄등의공소시효에관한법률안, 1995년 12월 7일 현경대, 변정일, 박헌
기, 강신옥, 정시채의원외 106인이 발의한 헌정질서파괴범죄의공소시효등에관한특례법안 및 1995년 11월 13일 
장기욱, 강수림, 강창성, 강희찬, 금말龍, 금원기, 금원웅, 금종완, 柳인태, 박계동, 박석무, 박 일, 신진욱, 
양문희, 원혜영, 李규택, 李기택, 李동근, 李상두, 李장희, 李 철, 장준익, 정기호, 제정구, 최욱철, 하근수, 
홍기훈, 홍영기, 황의성의원이 발의한 12.12군사반란및5.18내란사건처리특별법안을 심사한 결과 제177회국회
(정기회) 제18차 법제사법위원회(1995.12.19)에서 이상 3건의 법안을 참고하여 위원회안을 제안하기로 의결함
에 따라 이를 제안하는 것임.


■ 제안이유

헌법의 존립을 해하거나 헌정질서를 파괴하는 헌정질서파괴범죄에 대하여 공소시효의 배제등에 관한 사항을 규
정함으로써, 헌법상 자유민주적 기본질서를 수호하고자 함.


■ 주요골자

1.  목적(안 제1조)

    이 법은 헌법의 재립을 해하거나 헌정질서의 파괴를 목적으로 하는 헌정질서파괴범죄에 대한 공소시효의 
    배제등에 관한 사항을 규정함으로써 헌법상 자유민주적 기본질서를 수호함을 목적으로 함.

2.  용어의 정의(안 제2조)

    이 법에서“헌정질서파괴범죄”라 함은 형법 제2편제1장 내란의죄, 제2장 외환의 죄와 군형법 제2편제1장 
    반란의 죄, 제2장 이적의 죄를 말함.

3.  공소시효의 적용배제(안 제3조)

    제2조의 헌정질서파괴범죄, 형법제250조의 죄로서 집단학살의 방지와처벌에관한협약에 규정된 집단살해에 
    해당하는 범죄에 대하여는 형사소송법 제249조 내지 제253조 및 군사법원 제291조 내지 제295조에 규정된 
    공소시효를 적용하지 아니함.

4.  재정신청에 관한 특례(안 제4조)

    헌정질서파괴범죄자에 대해 검찰이 불기소처분을 한 경우 그 당부에 관해 고소·고발인이 재정신청을 할 
    수 있도록 하고, 이 경우 형사소송법 또는 군사법원법의 규정을 적용하도록 함.


■ 기타사항

제177회국회(정기회) 제18차 본회의(1995.12.19)상정·의결
",-
66,13532,5·18민주화운동등에관한특별법안(법제사법위원장),141427,원안가결,처리의안,1995-12-19,접수,1995-12-19,위원장,"■ 제안경위

1995년9월22일 조순형, 신기하, 박상천, 조홍규, 강철선, 박광태, 오탄, 李길재, 李원형, 林복진, 장석화, 정
상용의원외 53인이 발의한 5·18광주민주화운동의진상규명에관한특별법안, 1995년11월13일 장기욱, 강수림, 강
창성, 강희찬, 금말龍, 금원기, 금원웅, 금종완, 柳인태, 박계동, 박석무, 박일, 신진욱, 양문희, 원혜영, 李
규택, 李기택, 李동근, 李상두, 李장희, 李철, 장준익, 정기호, 제정구, 최욱철, 하근수, 홍기훈, 홍영기, 황
의성의원이 발의한 12·12군사반란및5·18내란사건처리특별법안 및 1995년12월2일 劉수호, 함석재의원외23인이
발의한 5·18사건및92대선자金수사를위한특별검사의임명에관한법률안을 심사한 결과 제177회국회(정기회) 제18
차 법제사법위원회(1995.12.19)에서 이상 3건의 법안을 참고하여 위원회안을 제안하기로 의결함에 따라 이를
제안하는 것임.



■ 제안이유

1979년12월12일과 1980년5월18일을 전후하여 발생한 헌정질서파괴범죄행위에 대한 공소시효정지 등에 관한 사
항 등을 규정함으로써 이러한 사태를 방지하며 국가기강을 바로 잡고 민주화를 정착시키며, 민족정기를 함양
하고자 이 법을 제안하는 것임.



■ 주요골자

1.  목적(안 제1조)

    이 법은 1979년 12월 12일과 1980년 5월 18일을 전후하여 발생한 헌정질서파괴범죄행위에 대한 공소시효정
    지 등에 관한 사항 등을 규정함으로써 국가기강을 바로잡고 민주화를 정착시키며 민족정기를 함양함을 목
    적으로 함.

2.  공소시효의 정지(안 제2조)

    1979년 12월 12일과 1980년 5월 18일을 전후하여 발생한 헌정질서파괴범죄행위에 대하여 국가의 소추권행
    사에 장애사유가 존재한 기간은 공소시효의 진행이 정지된 것으로 보며,“국가의소추권행사에 장애사유가 
    존재한 기간”이라 함은 당해 범죄행위의 종료일부터 1993년 2월 24일까지의 기간을 말함.

3.  재정신청에 관한 특례(안 제3조)

    제2조의 죄에 대하여 고소 또는 고발을 한 자가 검사 또는 검찰관으로부터 공소을 제기하지 아니한다는  
    통지를 받은 때에는 그 검사소속의 고등검찰청이나 그 검찰관소속의 고등검찰부에 대응하는 고등법원 또는
    고등군사법원에 그 당부에 관한 재정을 신청할 수 있도록 하고, 이 법 시행전에 제2조의 죄에 대하여 공소
    를 제기하지 아니하는 결정이 된 사건의 경우에도 재정신청을 할 수 있도록 하며, 재정신청에 관한 절차 
    등은 형사소송법 또는 군사법원법의 해당 규정을 적용함.

4.  특별재심(안 제4조)

    헌정질서파괴범죄에 해당하는 범행을 저지하거나 반대한 행위로 유죄의 확정판결을 선고받은 자의 명예를 
    회복시켜주기 위해 재심을 청구할 수 있도록 하고, 재심의 청구는 원판결의 법원이 관할하도록 하며, 그 
    형이 사면되거나 실효된 경우에도 종국적 실체판결을 하도록 하고 재심에 관한 절차는 동재심의 성격에 저
    촉하지 아니하는 한 형사소송법과 군사법원법의 해당 조항을 적용하도록 함.

5.  기념사업(안 제5조)

    정부는 5·18민주화운동을 기념하기 위한 제반사업을 추진하여야 함.

6.  배상의제(안 제6조)

    광주민주화운동관련자보상등에관한법률의 규정에 의한 보상은 배상으로 보도록 함.

7.  상훈치탈(안 제7조)

    정부는 5·18민주화운동과 관련하여 상훈을 받은 자에 대하여 심사한 결과 오로지 광주민주화운동을 진압
    한 것이 공로로 인정되어 받은 상훈은 상훈법 제8조의 규정에 의하여 서훈을 취소하고 훈장등을 치탈하도 
    록.



■ 기타사항

제177회국회(정기회) 제18차 본회의(1995.12.19)상정·의결",-
69,13533,정치자금에관한법률중개정법률안(내무위원장),141426,원안가결,처리의안,1995-12-19,접수,1995-12-19,위원장,"■ 제안경위

1.  1995년 12월 18일 권해옥·李원형·李학원의원이 정치자金에관한법률중개정법률안을 위원회안으로 제안할 
    것을 서면동의로 발의함.

2.  1995년 12월 19일 제177회 국회(정기회) 제10차 내무위원회에서정치자金에관한법률중개정법률안을 위원회
    안으로 채택키로 가결함.



■ 제안이유

중앙당후원회의 인원제한을 폐지하고, 후원회의 金품모집방법에 우편에 의한 모금을 추가하는 등 정당의 정치
자金조달을 원활히 하여 음성적인 정치자金 수수가 근절되도록 하기 위한 것임.


■ 주요골자

1.  중앙당후원회의 회원의 수가 2,000인을 초과할 수 없도록 된 것을 삭제함(안 제5조)

2.  후원인이 중앙당후원회에 납입 또는 기부할 수 있는 한도를 5,000만원(법인의 경우는 1억원)에서 1억원(법
    인의 경우 2억원)으로 상향조정함(안 제6조의2제1항)

3.  중앙당후원회의 기부한도를 평년에는 50억원에서 100억원으로, 공직선거가 있는 연도에는 평년의 2배(대통
    영선거가 있는 연도에는 3배)로 상향조정함(안 제6조의3제1항)

4.  후원회의 金품모집방법에 우편에 의한 모金을 새로이 추가함(안 제6조의4제1항)

5.  국회의원 또는 국회의원후보자가 후원회를 둘 수 있는 자격을 상실할 때 후원회로부터 기부받아 사용하고 
    남은 잔여재산의 처분방법을 규정함(안 제10조의3제3항)





■ 기타사항

제177회국회(정기회) 제18차 본회의(1995.12.19)상정·의결
",-
72,13531,공직선거및선거부정방지법중개정법률안(내무위원장),141425,원안가결,처리의안,1995-12-19,접수,1995-12-19,위원장,"■ 제안경위

1.  1995년12월18일 권해옥·李원형·李학원의원이 공직선거및선거불정방지법중개정법률안을 위원회안으로
    제안할 것을 서면동의로 발의함.

2.  1995년12월19일 제177회국회(정기회) 제10차 내무위원회에서공직선거및선거불정방지법중개정법률안을
    위원회안으로 채택키로 가결함.



■ 제안이유

지방자치단체장의 선거개입을 차단하는 등 공명선거보장장치를 보다 강화하고 지난 6·27선거과정에서 나타난 
선거운동방법 및 선거관리상 일부 不합리한 점을 보완하기 위한 것임.



■ 주요골자

1.  헌법재판소의 위헌결정에 따라 정부투자기관의 직원은 현직을 가지고 입후보할 수 있도록 함(안 제53조 제
    1항제4호)

2.  선거사무원수를 국회의원선거에 있어서는 읍·면·동수의 1.5배수에서 3배수로 함(안 제62조제2항제2호)

3.  선거관리위원회가 첩부한 선전벽보가 오손되거나 훼손된 때에는 공고된 수량의 범위안에서 후보자가 그 선
    전벽보가 첩부되었던 같은 장소에 보완·첩부할 수 있도록 함(안 제64조제8항)

4.  교육법에서 인정하는 정규학력외의 공개강좌 기타 교육과정을 수학한 履력을 게재하고자 하는 때에는 그 
    교육과정명과 수학기간을 의무적으로 기재하도록 하고 이를 기재하지 아니한 때에는 허위사실을 공표한것
    으로 봄(안 제64조제1항·제250조제1항)

5.  대통령선거외의 선거에 있어서는 전단형 소형인쇄물을 폐지하고 선거공보를 4색도로 하여 2매로 증면함(안 
    제65조·제66조)

6.  공개장소에서의 연설·대담의 제한시간을 오후 10시부터 다음 날오전 7시까지로 하며 사회자를 둘 수 있도
    록 하고, 배우자는 대담만을 할 수 있도록 함(안 제79조제1항·제102조)

7.  지방자치단체의 장이 그 지위를 이용하여 선거에 영향을 미칠 수 있는 행위 중 정당의 시국연설회등 정치
    행사의 참석, 선거사무소 등 방문행위, 선거구민 대상 각종 행사의 개최·후원행위, 통·이장회의의 참석
    등을 일정기간 제한함(안 제86조제2항)

8.  의정보고 등을 선거기간개시일전일까지 할 수 있도록 함(안 제111조)

9.  선전벽보·선거공보·소형인쇄물의 작성비용과 선거사무소·정당의 당사 등에서의 음식물 제공비용을 선거
    비용에 포함함(안 제120조)

10. 당원단합대회·확대당직자회의 및 당원교육의 제한기간을 선거기간중에 한하도록 완화하고, 정당의 지구당
    이 당원교육을 개최하는 때에는 지구당사무소·학교·공회당 기타 공공기관·단체 등 공공시설에서만 할 
    수 있도록 함(안 제141조·제142조·제143조)

11. 선거일에 텔레비전방송국·라디오방송국 또는 일간신문사는 대통령선거를 제외한 선거의 결과를 예상하기 
    위하여 투표의 비밀이 침해되지 않는 방법으로 출구조사를 할 수 있도록 함(안 제167조제2항)



■ 기타사항

제177회국회(정기회) 제18차 본회의(1995.12.19)상정·의결",-
75,13530,여성발전기본법안(대안)(행정위원장),141424,원안가결,처리의안,1995-12-19,접수,1995-12-19,위원장,"■ 제안경위

1.  여성발전기본법안은 주良자의원외 22인으로부터 1995년 12월 6일 발의되어 동년 12월 7일자로 당위원회에 
    회부되었으며, 남녀평등기본법안은 손세일의원외 64인으로부터 1995년 12월 9일 발의되어 동일자로 당위원
    회에 회부되었음.

2.  당위원회에 회부되어온 2건의 제정법안에 대하여 제177회 국회(정기회) 제8차 위원회(1995년 12월 12일)에
    서 제안설명과 전문위원의 검토보고를 각각 듣고, 법안심사소위원회에 회부하여 심사보고토록 하였음.

3.  법안심사소위원회에서는 제3차∼제5차 회의(1995년 12월 14일,15일, 18일)를 열고 2건의 법안에 대하여 진
    지하게 심사한 결과 상기 兩법안은 각각 본회의에 부의하지 아니하기로 하고 이들 법안의 공통내용인 남녀
    평등과 여성발전촉진을 골자로 하는 위원회 단일안을 마련하였으며, 제9차 위원회(1995년 12월 19일)에서 
    이를 행정위원회의 대안으로 제안하기로 의결하였음.



■ 제안이유

성차별적 관행이 뿌리깊은 우리 현실에서 헌법의 기본리념에 따라 정치·경제·사회·문화의 모든 영역에서 남
여평등을 촉진하고 女성의 발전을 도모하기 위하여 여성정책의 추진체계 및 구체적 내용을 규정하고 남녀평등
의 촉진, 여성의 사회참여 확대, 여성의 복지증진을 위한 국가 및 사회의 책임 등을 규정함으로써 건강한 가정
의 구현과 국가·사회의 발전에 남녀가 공동으로 참여하고 책임을 분담할 수 있도록 하고자 이 법을 제정함.



■ 주요골자

1.  이 법은 6장 36조로 하고 총칙, 여성정책기본계획등 여성정책의 기본시책, 여성발전기金, 여성단체의 지원
    등을 그 내용으로함.

2.  이 법은 헌법의 남녀평등리념을 구현하기 위한 국가와 지방자치단체의 책무등을 규정함으로써 정치·경제
    ·사회·문화의 모든 영역에 있어서 남녀평등을 촉진하고 여성의 발전을 도모함을 목적으로 함(안 제1조)

3.  이 법의 기본리념은 남녀평등의 촉진, 모성의 보호, 성차별적 의식의 해소 및 여성의 능력개발을 통하여 
    건강한 가정의 구현과 국가 및 사회의 발전에 남녀가 공동으로 참여하고 책임을 분담할 수 있도록 하는 것
    임(안 제2조)

4.  국가 및 지방자치단체는 남녀평등의 촉진, 여성의 사회참여확대 및 복지증진을 위하여 법적·제도적 장치
    의 마련과 이에 필요한 재원을 조달할 책무가 있으며 여성의 참여가 현저히 부진한 분야에 대하여 관계법
    영이 정하는 바에 의하여 잠정적인 우대조치를 취할 수 있도록 함(안 제5조, 제6조)

5.  정부는 여성정책에 관한 기본계획을 5년마다 수립하며 중앙행정기관의 장과 특별시장, 광역시장 및 도지사
    는 기본계획에 의한 연도별 시행계획을 수립·시행하도록 하고 중앙행정기관, 지방자치단체, 공공기관 기
    타 법인 또는 단체는 이에 필요한 협조를 하여야 함(안 제7조 내지 제9조)

6.  여성정책심의위원회, 성차별개선위원회 및 한국녀성개발원의설치근거를 규정함(안 제10조 내지 제12조)

7.  여성정책의 기본시책은 정치, 공직, 고용, 교육, 사회복지, 가정 및 국제협력분야를 포괄하여 여성발전을 
    위한 국가 및 지방자치단체의 의무를 규정함(안 제15조 내지 제28조)

8.  이 법의 목적을 실현하기 위한 사업 등의 지원에 필요한 재원을 확보하기 위하여 여성발전기金을 설치하고 
    정부가 관리·운용토록 함(안 제29조)

9.  국가 및 지방자치단체는 여성단체의 활동 등에 필요한 경비를 보조할 수 있도록 함(안 제32조)

10. 여성정책에 관한 기본계획의 수립, 기金의 관리·운용 등 이 법에서 규정하고 있는 정부의 사무를 처리하
    는 국무위원을 대통령령으로 정하도록 함(안 제36조)


■ 기타사항

제177회국회(정기회) 제18차 본회의(1995.12.19)상정·의결
",-
