의안번호,의안명,제안일자,제안자구분,의결일자,의결결과,제안회기,제안이유,소관위원회,제안자
141436,  접경지역개발지원에관한특례법안(이한동의원등 6인 외 22인),1996-02-05,의원,1996-05-29,임기만료폐기,제14대 (1992~1996) 제178회,"['■ 제안이유民族의 悲劇인 6.25戰爭이후 軍事分界線에 인접한 接境地域은 그 軍事的 要因과 自然環境으로 인하여 軍事施設保護法, 自然公園法등 여러 法令에 의한 각종 規制로 발전이 현저히 둔화되어 다른 지역에 비하여 상대적으로落後되어 있는 실정임.接境地域은 經濟가 황폐할 뿐만 아니라 敎育·文化·醫療 등의 文化·福祉分野에서도 다른 지역에 비해 소외되어 住民들의 생활이 극히 불편하며, 특히 前方地域으로서 軍事施設物이 많이 설치되어 있고 軍人과 그 家族들이 많이 거주하고 있음에도 軍駐屯에 따른 주민지원은 거의 없어 지역주민의 이탈이 계속되고 있음.國土의 균형개발과 統一을 위한 지역기반의 조성 및 南北交流의 거점 확보, 그리고 지역주민의 생활향상을 위하여 接境地域의 개발을 특별지원하려는 것임.■ 주요골자1. 軍事分界線에 인접하는 市·郡을“接境地域”으로 정의하고, 接境地域의 개발을 촉진함으로써 國土의 균형있는 발전과 住民의 생활향상에 이바지하며, 統一을 위한 거점을 확보함을 이 法의 目的으로 함(案 第1條,第2條第1號)2. 統一院長官은 國務會議의 審議를 거쳐 接境地域중 南北交流를활성화하고 統一의 거점에 적합한 지역을 平和市로 지정할 수 있도록 함(案 第4條)3. 接境地域의 道知事는 交通施設·産業基盤施設·文化福祉施設의 확충 등을 내용으로 하는 開發計劃을 수립하도록 하고, 大統領의 승인을 얻어 公告하도록 함(案 第5條, 第6條)4. 開發事業을 시행하고자 하는 者는 道知事의 승인을 얻도록 하고, 道知事는 農漁民團體에 대하여 우선적으로 사업의 승인을 하도록 함(案 第8條)5. 接境地域의 開發事業에 대하여는 環境影響評價法의 특례를 인정하여 道知事가 環境影響評價協議를 하도록하고, 또한 山林法의 특례를 두어 保全林地의 轉用許可를 받은 者에 대하여 國有林을 貸付·使用許可할 수있도록 함(案 第9條, 第10條)6. 接境地域에는 觀光振興法에 의한 許可要件을 완화하여 카지노업의 許可를 할 수 있도록 하되, 利益金 중일부를 接境地域과 관련된 觀光振興 및 地域開發을 위하여 사용하도록 함(案 第11條)7. 接境地域의 개발계획을 효율적으로 시행하기 위하여 개발사업의 시행승인을 얻은 경우에는 山林法의 立木伐採許可, 河川法의 河川占用許可등 18개 法律의 認·許可 등을 받은 것으로 보도록 하여 각종 認·許可절차를 간략하게 함(案 第12條)8. 接境地域의 개발을 촉진하는 반면에 이 지역이 自然資源의 寶庫임을 고려하여 道知事는 특히 自然環境保全基本方針을 수립하도록 하고, 特別管理地區로 지정한 곳에서는 開發을 制限할 수 있도록 하며, 接境地域안에 棲息하는 稀貴動植物 및 鑛物 등을 保存資源으로 지정하여 보호하도록 함(案 第13條 내지 第15條)9. 接境地域 개발사업의 효율적인 추진을 지원하기 위하여 國務總理소속하에 接境地域開發支援委員會를 두도록 함(案 第16條)10. 接境地域에 國立大學을 두도록 하고, 당해 지역의 住民 및 軍人이 우선적으로 入學하도록 함(案 第18條)11. 기타 接境地域의 開發을 촉진하기 위하여 國庫補助金을 引上지원할 수 있도록 하고, 각종 負擔金을 減免하도록하는 등 接境地域의 개발사업을 위한 특별지원 규정을 둠(案 第19條 내지 第25條)12. 이 法은 2005年 12月 31日까지 효력을 가지도록 함(案 附則 第2項)']",통일외무위원회,"['이한동', '김두섭', '박명근', '서정화', '이용삼', '정재철', '박명환', '박우병', '박종웅', '백남치', '성무용', '송광호', '유성환', '이민섭', '이순재', '이재명', '이호정', '정창현', '조진형', '최영한', '최형우', '황명수']"
141435,  공직선거및선거부정방지법중개정법률안,1996-01-27,위원장,1996-01-27,원안가결,제14대 (1992~1996) 제178회,"['■ 제안경위1. 1996年1月26日 權海玉 議員外 3人이 公職選擧 및 選擧不正防止法中改正法律案을 委員會案으로 提案할 것을 書面動議로 發議함.2. 1996年1月26日 第178回國會(臨時會) 第2次 內務委員會에서 公職選擧 및 選擧不正防止法中改正法律案을 委員會案으로 採擇키로 可決함.■ 제안이유公職選擧및選擧不正防止法 第25條第2項에 의한 別表1 國會議員地域選擧區區域表(1995.8.4 法律第4957號로 改正公布됨)에 대해서 1995.12.27 憲法裁判所가 違憲決定을 함에 따라서 憲法裁判所의 決定趣旨에 맞게 國會議員地域選擧區區域表를 改正하려는 것임.■ 주요골자1. 國會議員地域選擧區區域表를 改正함(案 第25條第2項의 別表 1)가. 釜山廣域市 國會議員地域選擧區區域表중 中區選擧區와 東區選擧區를 통합하고, 海雲臺區機張郡選擧區를 海雲臺區機張郡甲·乙選擧區로 분리하며, 北區選擧區와 江西區選擧區의 일부지역을 調整하여 각각北區江西區甲選擧區와 北區江西區乙選擧區로 함.나. 仁川廣域市 國會議員地域選擧區區域表중 桂陽區選擧區와 江華郡選擧區의 일부지역을 調整하여 각각 桂陽區江華郡甲選擧區와 桂陽區江華郡乙選擧區로 함.다. 江原道 國會議員地域選擧區區域表중 太白市選擧區와 旌善郡選擧區를 통합함.라. 忠淸北道 國會議員地域選擧區區域表중 報恩郡永同郡選擧區와 沃川郡選擧區를 통합함.마. 忠淸南道 國會議員地域選擧區區域表중 錦山郡選擧區와 論山郡選擧區를 통합함.바. 全羅南道 國會議員地域選擧區區域表중 寶城郡選擧區와 和順郡選擧區를 통합하고 長興郡選擧區와 靈岩郡選擧區를 통합하며 木浦市選擧區와 新安郡選擧區의 일부지역을 調整하여 木浦市新安郡甲選擧區와 木浦市新安郡乙選擧區로 함.사. 慶尙北道 國會議員地域選擧區區域表 중 聞慶市選擧區와 醴泉郡選擧區를 통합하고 英陽郡奉化郡選擧區와 蔚珍郡選擧區를 통합함.아. 慶尙南道 國會議員地域選擧區區域表 중 蔚山市南區選擧區를 南區甲選擧區와 南區乙選擧區로 분리하고,居昌郡選擧區와 陜川郡選擧區를 통합함.2. 國會議員地域選擧區를 劃定함에 있어서 1996年4月11日 실시되는 國會議員選擧에 있어서 인구편차를 최소화하기 위하여 區·市·郡의 일부를 분할하여 다른 選擧區에 포함시킬 수 있도록 經過規定을 둠(案 附則第2項)■ 기타사항第178回國會(定期會) 第2次 本會議(1996.1.27)上程·議決']",내무위원회,[]
141432,  정부조직법중개정법률안(손세일의원등 5인 외 60인),1996-01-16,의원,1996-01-27,폐기,제14대 (1992~1996) 제178회,['■ 제안이유 및 주요골자中小企業의 經營安定과 競爭力을 提高하기 위하여 효율적인 中小企業支援體制를 구축할 수 있도록 中小企業部를 新設하려는 것임.■ 기타사항第178回國會(臨時會) 第1次 行政委員會(1996.1.26)上程·提案說明·檢討報告·贊反討論·議決第178回國會(定期會) 第2次 本會議(1996.1.27)報告'],행정위원회,"['손세일', '강철선', '권노갑', '김덕규', '문희상', '김영배', '김영진', '김옥두', '김옥천', '김원길', '김인곤', '김장곤', '김충조', '김충현', '김태식', '나병선', '남궁진', '류인학', '류준상', '박광태', '박상천', '박실', '박은태', '박정훈', '박태영', '배기선', '신계륜', '신기하', '신순범', '안동선', '오탄', '이경재', '이길재', '이석현', '이영권', '이우정', '이원형', '이윤수', '이종찬', '이협', '이희천', '임복진', '임채정', '장석화', '장영달', '장재식', '정균환', '정대철', '정상용', '조세형', '조순승', '조순형', '조윤형', '조홍규', '채영석', '최두환', '최락도', '최재승', '한광옥', '한화갑']"
141431,  정보공개법안(김덕규의원등 5인 외 60인),1996-01-09,의원,1996-05-29,임기만료폐기,제14대 (1992~1996) 제177회,"['■ 제안이유公共機關이 保有하거나 管理하는 情報의 公開를 義務化하고, 國民이 情報의 公開를 請求하는데 필요한 사항을규정함으로써 國民의 알 權利를 보장하고 行政의 公正性을 確保하여 民主的인 情報公開制度를 確立하기 위하여이 안을 제안하는 것임.■ 주요골자1. 公共機關이 保有·管理하는 정보는 공개를 原則으로 하고, 最小限의 例外를 인정하도록 함(案 第2條)2. 情報公開 請求權者는 모든 國民과 國內에 3년 이상 居住하는 外國人으로서 大統領令이 定하는 자로 함(案第4條)3. 情報公開 義務機關은 國家, 地方自治團體, 其他公共團體 등 공공기관으로 함(案 第5條)4. 公開의 對象이 되는 情報는 公共機關이 직무상 작성하거나 취득하여 保有·管理하고 있는 文書·圖畵·寫眞 마이크로필름·녹음테이프·컴퓨터에 의해 처리되는 매체에 기록된 상황 등으로 함(案 第6條)5. 公開除外對象이 되는 情報는 國家의 安全이나 外交關係를 명백하게 害한다고 認定되는 情報, 法律로 공개를 면제받은 정보, 犯罪의 搜査와 裁判에 영향을 미치는 정보, 個人의 私生活의 秘密과 自由를 침해하는정보, 企業 등의 利益을 侵害하는 정보로 함(案 第7條)6. 情報公開請求는 當該 公共機關의 長에게 文書로써 하도록 함(案 第11條)7. 情報公開請求를 받은 公共機關은 10일이내에 공개여부를 결정·통지하여야 하고, 이를 20일까지 연장할 수있도록 함(案 第12條 및 第13條)8. 情報公開拒否決定에 대한 不服은 그 拒否決定을 한 기관에 異議申請을 할 수 있고, 異議申請 棄却決定에대한 不服은 情報公開委員會에 審査請求를 할 수 있으며, 審査請求 棄却裁決에 대한 不服은法院에 情報公開訴訟을 제기할 수 있도록 함(案 第17條, 第18條 및 第23條)9. 審査請求를 審理·裁決하고, 정보의 수집·보존·관리·공개 및 그 절차 등에 관한 개선방안 연구 등을 위하여 國會·政府·大法院·憲法裁判所·中央選擧管理委員會에 各 情報公開委員會를 설치하도록 함(案 第28條)10. 情報公開委員會의 委員은 9인으로 하고, 그 委員은 國會議長·大統領·大法院長·憲法裁判所長·中央選擧管理委員會委員長이 國會의 동의를 받아 任命하도록 함(案 第30條)11. 情報公開委員會委員의 資格은 判事·檢事·辯護士의 資格이 있는 者,公認된 大學에서 助敎授 이상의 직에있었던 자, 3級 이상의 公務員職에 5년 이상 근무한 경력이 있는 자, 其他 學識이 있고 社會的 信望이 있는 자로 함(案 第30條)12. 情報公開制度를 保護하고 그 健全한 發展을 위하여 情報公開委員會의 직무를 방해한 자, 關係參考人이 情報公開委員會의 出席要求에 不應하거나 資料提出命令에 불응한 때, 宣誓를 한 關係參考人이 허위진술을 한때에 처벌하도록 함(案 第36條, 第38條 및 第39條)']",행정위원회,"['김덕규', '강철선', '권노갑', '문희상', '손세일', '김영배', '김영진', '김옥두', '김옥천', '김원길', '김인곤', '김장곤', '김충조', '김충현', '김태식', '나병선', '남궁진', '류인학', '류준상', '박광태', '박상천', '박실', '박은태', '박정훈', '박태영', '배기선', '신계륜', '신기하', '신순범', '안동선', '오탄', '이경재', '이길재', '이석현', '이영권', '이우정', '이원형', '이윤수', '이종찬', '이협', '이희천', '임복진', '임채정', '장석화', '장영달', '장재식', '정균환', '정대철', '정상용', '조세형', '조순승', '조순형', '조윤형', '조홍규', '채영석', '최두환', '최락도', '최재승', '한광옥', '한화갑']"
141430,  정부조직법중개정법률안,1996-01-09,정부,1996-01-27,원안가결,제14대 (1992~1996) 제178회,['■ 제안이유 및 주요골자체계적이고 효율적인 中小企業支援體制를구축하고 中小企業의 競爭力을 提高하기 위하여 中小企業廳을 新設하려는 것임.■ 기타사항第178回國會(臨時會) 第1次 行政委員會(1996. 1.26)上程·提案說明·檢討報告·贊反討論·議決第178回國會(定期會) 第2次 本會議(1996. 1.27)上程·議決'],행정위원회,[]
141428,  헌정질서파괴범죄의공소시효등에관한특례법안,1995-12-19,위원장,1995-12-19,원안가결,제14대 (1992~1996) 제177회,"['■ 제안경위1995年 9月 22日 朴相千, 趙舜衡, 辛基夏, 趙洪奎, 姜喆善, 朴光泰, 吳 坦, 李吉載, 李沅衡, 林福鎭, 張石和,鄭祥容議員外 53人이 發議한 憲法破壞犯罪등의公訴時效에관한法律案, 1995年 12月 7日 玄敬大, 邊精一, 朴憲基, 姜信玉, 丁時采議員外 106人이 發議한 憲政秩序破壞犯罪의公訴時效등에관한特例法案 및 1995年 11月 13日張基旭, 姜秀淋, 姜昌成, 姜熹瓚, 金末龍, 金元基, 金元雄, 金鍾完, 柳寅泰, 朴啓東, 朴錫武, 朴 一, 申鎭旭,楊文熙, 元惠榮, 李揆澤, 李基澤, 李東根, 李相斗, 李章凞, 李 哲, 張浚翼, 鄭璣浩, 諸廷坵, 崔旭澈, 河根壽,洪起薰, 洪英基, 黃義成議員이 發議한 12.12軍事叛亂및5.18內亂事件處理特別法案을 審査한 結果 第177回國會(定期會) 第18次 法制司法委員會(1995.12.19)에서 이상 3件의 法案을 참고하여 委員會案을 提案하기로 議決함에 따라 이를 提案하는 것임.■ 제안이유憲法의 存立을 해하거나 憲政秩序를 破壞하는 憲政秩序破壞犯罪에 대하여 公訴時效의 배제등에 관한 事項을 規定함으로써, 憲法상 自由民主的 基本秩序를 수호하고자 함.■ 주요골자1. 目的(案 第1條)이 法은 憲法의 在立을 해하거나 憲政秩序의 破壞를 目的으로 하는 憲政秩序破壞犯罪에 대한 公訴時效의排除등에 관한 사항을 規定함으로써 憲法상 自由民主的 기본질서를 수호함을 目的으로 함.2. 用語의 定義(案 第2條)이 法에서“憲政秩序破壞犯罪”라 함은 刑法 第2編第1章 內亂의罪, 第2章 外患의 罪와 軍刑法 第2編第1章叛亂의 罪, 第2章 利敵의 罪를 말함.3. 公訴時效의 適用排除(案 第3條)第2條의 憲政秩序破壞犯罪, 刑法第250條의 罪로서 集團虐殺의 防止와處罰에관한協約에 規定된 集團殺害에해당하는 犯罪에 대하여는 刑事訴訟法 第249條 내지 第253條 및 軍事法院 第291條 내지 第295條에 規定된公訴時效를 適用하지 아니함.4. 裁定申請에 관한 特例(案 第4條)憲政秩序破壞犯罪者에 대해 檢察이 不起訴處分을 한 경우 그 당부에 관해 告訴·告發人이 裁定申請을 할수 있도록 하고, 이 경우 刑事訴訟法 또는 軍事法院法의 規定을 適用하도록 함.■ 기타사항第177回國會(定期會) 第18次 本會議(1995.12.19)上程·議決']",법제사법위원회,[]
141427,  5·18민주화운동등에관한특별법안,1995-12-19,위원장,1995-12-19,원안가결,제14대 (1992~1996) 제177회,"['■ 제안경위1995年9月22日 趙舜衡, 辛基夏, 朴相千, 趙洪奎, 姜喆善, 朴光泰, 吳坦, 李吉載, 李沅衡, 林福鎭, 張石和, 鄭祥容議員外 53人이 發議한 5·18光州民主化運動의眞相糾明에관한特別法案, 1995年11月13日 張基旭, 姜秀淋, 姜昌成, 姜憙瓚, 金末龍, 金元基, 金元雄, 金種完, 柳寅泰, 朴啓東, 朴錫武, 朴一, 申鎭旭, 楊文熙, 元惠榮, 李揆澤, 李基澤, 李東根, 李相斗, 李章凞, 李哲, 張俊翼, 鄭璣浩, 諸廷坵, 崔旭澈, 河根壽, 洪起薰, 洪英基, 黃義成議員이 發議한 12·12軍事叛亂및5·18內亂事件處理特別法案 및 1995年12月2日 劉守鎬, 咸錫宰議員外23人이發議한 5·18事件및92大選資金搜査를위한特別檢査의任命에관한法律案을 審査한 結果 第177回國會(定期會) 第18次 法制司法委員會(1995.12.19)에서 이상 3件의 法案을 참고하여 委員會案을 提案하기로 議決함에 따라 이를提案하는 것임.■ 제안이유1979年12月12日과 1980年5月18日을 전후하여 발생한 憲政秩序破壞犯罪行爲에 대한 公訴時效停止 등에 관한 사항 등을 規定함으로써 이러한 事態를 방지하며 國家紀綱을 바로 잡고 民主化를 定着시키며, 民族精氣를 함양하고자 이 法을 提案하는 것임.■ 주요골자1. 目的(案 第1條)이 法은 1979年 12月 12日과 1980年 5月 18日을 전후하여 발생한 憲政秩序破壞犯罪行爲에 대한 公訴時效停止 등에 관한 사항 등을 規定함으로써 國家紀綱을 바로잡고 民主化를 定着시키며 民族精氣를 함양함을 目的으로 함.2. 公訴時效의 정지(案 第2條)1979年 12月 12日과 1980年 5月 18日을 전후하여 발생한 憲政秩序破壞犯罪行爲에 대하여 國家의 訴追權行使에 障碍事由가 존재한 기간은 公訴時效의 진행이 정지된 것으로 보며,“國家의訴追權行事에 障碍事由가존재한 기간”이라 함은 당해 犯罪行爲의 종료일부터 1993年 2月 24日까지의 기간을 말함.3. 裁定申請에 관한 特例(案 第3條)第2條의 罪에 대하여 告訴 또는 告發을 한 者가 檢事 또는 檢察官으로부터 公訴을 제기하지 아니한다는통지를 받은 때에는 그 檢事所屬의 高等檢察廳이나 그 檢察官所屬의 高等檢察部에 대응하는 高等法院 또는高等軍事法院에 그 당부에 관한 裁定을 申請할 수 있도록 하고, 이 法 施行前에 第2條의 罪에 대하여 公訴를 提起하지 아니하는 결정이 된 사건의 경우에도 裁定申請을 할 수 있도록 하며, 裁定申請에 관한 節次등은 刑事訴訟法 또는 軍事法院法의 해당 規定을 적용함.4. 特別再審(案 第4條)憲政秩序破壞犯罪에 해당하는 犯行을 저지하거나 반대한 행위로 有罪의 確定判決을 宣告받은 者의 명예를회복시켜주기 위해 再審을 請求할 수 있도록 하고, 再審의 請求는 原判決의 法院이 관할하도록 하며, 그刑이 赦免되거나 失效된 경우에도 終局的 實體判決을 하도록 하고 再審에 관한 節次는 同再審의 性格에 저촉하지 아니하는 한 刑事訴訟法과 軍事法院法의 해당 條項을 적용하도록 함.5. 記念事業(案 第5條)政府는 5·18民主化運動을 記念하기 위한 제반사업을 추진하여야 함.6. 賠償擬制(案 第6條)光州民主化運動關聯者補償등에관한法律의 規定에 의한 補償은 賠償으로 보도록 함.7. 賞勳치탈(案 第7條)政府는 5·18民主化運動과 관련하여 賞勳을 받은 者에 대하여 審査한 결과 오로지 光州民主化運動을 진압한 것이 공로로 인정되어 받은 賞勳은 賞勳法 第8條의 規定에 의하여 敍勳을 취소하고 勳章등을 치탈하도록.■ 기타사항第177回國會(定期會) 第18次 本會議(1995.12.19)上程·議決']",법제사법위원회,[]
141426,  정치자금에관한법률중개정법률안,1995-12-19,위원장,1995-12-19,원안가결,제14대 (1992~1996) 제177회,"['■ 제안경위1. 1995年 12月 18日 權海玉·李沅衡·李學源議員이 政治資金에關한法律中改正法律案을 委員會案으로 提案할것을 書面動議로 發議함.2. 1995年 12月 19日 第177回 國會(定期會) 第10次 內務委員會에서政治資金에關한法律中改正法律案을 委員會案으로 採擇키로 可決함.■ 제안이유中央黨後援會의 인원제한을 폐지하고, 後援會의 金品募集方法에 郵便에 의한 모금을 추가하는 등 政黨의 政治資金調達을 원활히 하여 陰性的인 政治資金 授受가 根絶되도록 하기 위한 것임.■ 주요골자1. 中央黨後援會의 會員의 數가 2,000人을 초과할 수 없도록 된 것을 삭제함(案 第5條)2. 後援人이 中央黨後援會에 納入 또는 寄附할 수 있는 한도를 5,000萬원(法人의 경우는 1億원)에서 1億원(法人의 경우 2億원)으로 上向調整함(案 第6條의2第1項)3. 中央黨後援會의 기부한도를 平年에는 50億원에서 100億원으로, 公職選擧가 있는 年度에는 平年의 2倍(大統領選擧가 있는 年度에는 3倍)로 上向調整함(案 第6條의3第1項)4. 後援會의 金品募集方法에 郵便에 의한 募金을 새로이 추가함(案 第6條의4第1項)5. 國會議員 또는 國會議員候補者가 後援會를 둘 수 있는 資格을 상실할 때 後援會로부터 기부받아 사용하고남은 殘餘財産의 처분방법을 규정함(案 第10條의3第3項)■ 기타사항第177回國會(定期會) 第18次 本會議(1995.12.19)上程·議決']",내무위원회,[]
141425,  공직선거및선거부정방지법중개정법률안,1995-12-19,위원장,1995-12-19,원안가결,제14대 (1992~1996) 제177회,"['■ 제안경위1. 1995年12月18日 權海玉·李沅衡·李學源議員이 公職選擧및選擧不正防止法中改正法律案을 委員會案으로提案할 것을 書面動議로 發議함.2. 1995年12月19日 第177回國會(定期會) 第10次 內務委員會에서公職選擧및選擧不正防止法中改正法律案을委員會案으로 採擇키로 可決함.■ 제안이유地方自治團體長의 選擧介入을 차단하는 등 公明選擧保障裝置를 보다 강화하고 지난 6·27選擧過程에서 나타난選擧運動方法 및 選擧管理상 일부 不合理한 점을 補完하기 위한 것임.■ 주요골자1. 憲法裁判所의 違憲決定에 따라 政府投資機關의 직원은 現職을 가지고 立候補할 수 있도록 함(案 第53條 第1項第4號)2. 選擧事務員數를 國會議員選擧에 있어서는 邑·面·洞數의 1.5倍數에서 3倍數로 함(案 第62條第2項第2號)3. 選擧管理委員會가 첩부한 宣傳壁報가 오손되거나 훼손된 때에는 公告된 수량의 범위안에서 候補者가 그 宣傳壁報가 첩부되었던 같은 場所에 補完·첩부할 수 있도록 함(案 第64條第8項)4. 敎育法에서 인정하는 正規學歷외의 公開講座 기타 敎育課程을 修學한 履歷을 게재하고자 하는 때에는 그敎育課程名과 修學期間을 의무적으로 기재하도록 하고 이를 기재하지 아니한 때에는 허위사실을 公表한것으로 봄(案 第64條第1項·第250條第1項)5. 大統領選擧외의 選擧에 있어서는 傳單型 小型印刷物을 폐지하고 選擧公報를 4色度로 하여 2枚로 增面함(案第65條·第66條)6. 公開場所에서의 演說·對談의 制限時間을 오후 10시부터 다음 날오전 7시까지로 하며 司會者를 둘 수 있도록 하고, 配偶者는 對談만을 할 수 있도록 함(案 第79條第1項·第102條)7. 地方自治團體의 長이 그 地位를 이용하여 選擧에 영향을 미칠 수 있는 행위 중 政黨의 時局演說會등 政治行事의 참석, 選擧事務所 등 방문행위, 選擧區民 對象 각종 行事의 開催·後援行爲, 統·里長會議의 참석등을 一定期間 制限함(案 第86條第2項)8. 議政報告 등을 選擧期間開始日前日까지 할 수 있도록 함(案 第111條)9. 宣傳壁報·選擧公報·小型印刷物의 作成費用과 選擧事務所·政黨의 黨舍 등에서의 음식물 제공비용을 選擧費用에 포함함(案 第120條)10. 黨員團合大會·擴大黨職者會議 및 黨員敎育의 制限期間을 選擧期間중에 한하도록 완화하고, 政黨의 地區黨이 黨員敎育을 개최하는 때에는 地區黨事務所·學校·公會堂 기타 公共機關·團體 등 公共施設에서만 할수 있도록 함(案 第141條·第142條·第143條)11. 選擧日에 텔레비전放送局·라디오放送局 또는 日刊新聞社는 大統領選擧를 제외한 選擧의 結果를 예상하기위하여 投票의 비밀이 침해되지 않는 방법으로 출구조사를 할 수 있도록 함(案 第167條第2項)■ 기타사항第177回國會(定期會) 第18次 本會議(1995.12.19)上程·議決']",내무위원회,[]
141424,  여성발전기본법안(대안),1995-12-19,위원장,1995-12-19,원안가결,제14대 (1992~1996) 제177회,"['■ 제안경위1. 女性發展基本法案은 朱良子議員外 22人으로부터 1995年 12月 6日 發議되어 同年 12月 7日字로 當委員會에회부되었으며, 男女平等基本法案은 孫世一議員外 64人으로부터 1995年 12月 9日 發議되어 同日字로 當委員會에 回附되었음.2. 當委員會에 回附되어온 2件의 制定法案에 대하여 第177回 國會(定期會) 第8次 委員會(1995年 12月 12日)에서 提案說明과 專門委員의 檢討報告를 各各 듣고, 法案審査小委員會에 回附하여 審査報告토록 하였음.3. 法案審査小委員會에서는 第3次∼第5次 會議(1995年 12月 14日,15日, 18日)를 열고 2件의 法案에 대하여 진지하게 審査한 결과 上記 兩法案은 각각 本會議에 附議하지 아니하기로 하고 이들 法案의 共通內容인 男女平等과 女性發展促進을 骨子로 하는 委員會 單一案을 마련하였으며, 第9次 委員會(1995年 12月 19日)에서이를 行政委員會의 代案으로 提案하기로 議決하였음.■ 제안이유性差別的 慣行이 뿌리깊은 우리 현실에서 憲法의 基本理念에 따라 政治·經濟·社會·文化의 모든 영역에서 男女平等을 촉진하고 女性의 發展을 도모하기 위하여 女性政策의 推進體系 및 구체적 內容을 規定하고 男女平等의 촉진, 여성의 社會參與 확대, 여성의 福祉增進을 위한 國家 및 社會의 責任 등을 規定함으로써 건강한 家庭의 具現과 國家·社會의 發展에 男女가 共同으로 참여하고 責任을 分擔할 수 있도록 하고자 이 法을 制定함.■ 주요골자1. 이 法은 6章 36條로 하고 總則, 女性政策基本計劃등 女性政策의 基本施策, 女性發展基金, 女性團體의 지원등을 그 內容으로함.2. 이 法은 憲法의 男女平等理念을 구현하기 위한 國家와 地方自治團體의 責務등을 規定함으로써 政治·經濟·社會·文化의 모든 영역에 있어서 男女平等을 촉진하고 여성의 發展을 도모함을 目的으로 함(案 第1條)3. 이 法의 基本理念은 男女平等의 촉진, 母性의 保護, 性差別的 의식의 해소 및 女性의 能力開發을 통하여건강한 家庭의 具現과 國家 및 社會의 發展에 男女가 共同으로 參與하고 責任을 分擔할 수 있도록 하는 것임(案 第2條)4. 國家 및 地方自治團體는 男女平等의 촉진, 女性의 社會參與확대 및 福祉增進을 위하여 法的·制度的 裝置의 마련과 이에 필요한 財源을 조달할 責務가 있으며 女性의 參與가 현저히 부진한 분야에 대하여 關係法令이 정하는 바에 의하여 暫定的인 優待措置를 취할 수 있도록 함(案 第5條, 第6條)5. 政府는 女性政策에 관한 基本計劃을 5年마다 수립하며 中央行政機關의 長과 特別市長, 廣域市長 및 道知事는 基本計劃에 의한 年度別 施行計劃을 수립·시행하도록 하고 中央行政機關, 地方自治團體, 公共機關 기타 法人 또는 團體는 이에 필요한 협조를 하여야 함(案 第7條 내지 第9條)6. 女性政策審議委員會, 性差別改善委員會 및 韓國女性開發院의設置根據를 規定함(案 第10條 내지 第12條)7. 女性政策의 基本施策은 政治, 公職, 雇傭, 敎育, 社會福祉, 家庭 및 國際協力分野를 포괄하여 女性發展을위한 國家 및 地方自治團體의 義務를 規定함(案 第15條 내지 第28條)8. 이 法의 目的을 실현하기 위한 事業 등의 지원에 필요한 財源을 확보하기 위하여 女性發展基金을 設置하고政府가 管理·運用토록 함(案 第29條)9. 國家 및 地方自治團體는 女性團體의 活動 등에 필요한 經費를 보조할 수 있도록 함(案 第32條)10. 女性政策에 관한 基本計劃의 수립, 基金의 管理·運用 등 이 法에서 規定하고 있는 政府의 事務를 처리하는 國務委員을 大統領令으로 정하도록 함(案 第36條)■ 기타사항第177回國會(定期會) 第18次 本會議(1995.12.19)上程·議決']",행정위원회,[]
