의안번호,의안명,제안일자,제안자구분,의결일자,의결결과,제안회기,제안이유,소관위원회,제안자
151324,  한국마사회법중개정법률안(길승흠의원 외 19인),1998-11-09,의원,2000-05-29,임기만료폐기,제15대 (1996~2000) 제198회,"['■ 제안이유騎手와 말·觀覽客이 함께 參與하는 레저스포츠로서의 競馬의 特性을 확고히 하기 위하여 이 法의 題名을 競馬法으로 변경하여 競馬에 대한 國民의 認識을 새롭게 하는 한편, 競馬의 공정한 施行과 원활한 普及을 통하여國民餘暇體育活動의 增進을 도모하고, 競馬文化의 發展에 기여하며, 國家經濟 상황과 農民團體의 어려움을 감안하여, 競馬收益金을 農林部長官이 추천하는 法人·團體에 전액 사용하도록 하되, 단 3年期間 동안 한시적으로 失業基金에 일정분을 出捐토록 함.아울러 馬事의 振興과 관련된 競走馬 育成牧場 建設 및 運營權을 主務部署인 農林部에서 管掌토록 명확히 하고, 責任經營制의 정착을 위하여 經營實績評價制度를 도입하며, 競馬관련 法規위반者에 대한 罰金額을 상향조정하는 등 競馬의 공정한 施行 및 효율적인 관리를 위한 제도를 마련하려는 것임.■ 주요골자1. 이 法의 題名을 “韓國馬事會法”에서 “競馬法” 으로 변경하고, “韓國馬事會”의 명칭을 “韓國競馬會”로 변경함(案 題名 및 第18條)2. 이 法의 目的이 “馬事의 振興 및 畜産의 發展에 이바지함” 으로 되어 있는 것을 “國民餘暇體育活動의增進을 도모하고, 競馬文化의 발전에 기여하는 것”으로 함(案 第1條)3. 競馬에 대한 일반시민들의 접근편의를 위해 競馬場 入場者에게 徵收하던 1千원 이하의 入場料와 馬主·競走馬·服色·裝蹄師에 대한 登錄手數料 및 調敎師·騎手의 免許 手數料·特定競馬 出走馬의 馬主에 부과하는 特別登錄料 등을 규제정비 차원에서 폐지(案 第5條, 第15條, 第16條)4. 韓國競馬會의 決算利益의 처리에 있어 현재, 資本金의 2分의1에 달할 때 까지 利益金의 10分의2 이상을 利益準備金에 적립과 資本金과 同額에 달할 때 까지 利益金의 10分의3 이상을 競馬事業擴張金으로 적립하던것을 削除하고, 移越損失金의 補塡 이외에는 전액 特別積立金에 적립토록 함(案 第42條第1項 내지 第3項)5. 競馬收益金으로 조성한 特別積立金은 현재 畜産振興 및 農漁民子女奬學事業 등에 필요한 經費에 충당하도록 되어 있으나, 이를 農林部長官이 추천하는 法人·團體의 사업에 필요한 경비에 充當토록 함(案 第42條第4項)6. 經營實績評價制度를 도입하여 經營目標의 달성도 및 公益性·能率性을 客觀的으로 측정할 수 있게 함으로써 責任經營制의 확립을 도모함(案 第43條의2)7. 競馬의 공정한 시행과 健全한 餘暇文化 정착을 위하여 현재 지나치게 낮게 규정된 罰金額을 상향 조정함(案 第50條 및 第51條, 第53條 내지 第55條, 第58條 및 第59條)']",문화관광위원회,"['길승흠', '김광수', '김병태', '노무현', '류종수', '박종웅', '백승홍', '신기남', '신낙균', '신영균', '유선호', '이세기', '이해봉', '이협', '정동채', '정상구', '정희경', '최희준']"
151323,  특별소비세법중개정법률안(정호선의원등 20인 외 5인),1998-11-06,의원,1998-12-02,폐기,제15대 (1996~2000) 제198회,"['■ 제안이유 및 주요골자건전한 消費生活을 유도하기 위하여 課稅하고 있는 特別消費稅對象 品目중 公衆衛生法상 컴퓨터게임장에서 사용되는 電子遊技機具와 射倖性 賭博機器, 投錢機 등이 동일하게 第1種品目으로 規定되어 物品價格의 100分의30의 稅率을 적용받고 있음. 이러한 課稅體系는 電子遊技機具製造業 및 電子遊技機具에 사용되는 소프트웨어개발사업의 발전에 저해요소로 작용하고 있으며, 건전한 電子遊技機具보다는 射倖性 娛樂器具의 개발이 더욱활성화되는 요인이기도 함. 同法案은 公衆衛生法상 檢査를 거친 電子遊技機具와 여타의 射倖性 娛樂器具의 稅率을 달리 規定함으로써 건전한 전자게임산업을 육성하도록 하기 위한 것임.']",재정경제위원회,"['정호선', '김명규', '김선길', '김성곤', '김영환', '류종수', '박찬주', '방용석', '이상수', '이상희', '이태섭', '이태섭', '이협', '임복진', '전용원', '정균환', '조성준', '조홍규', '천용택', '천용택']"
151322,  인삼산업법중개정법률안,1998-11-06,정부,1998-12-17,원안가결,제15대 (1996~2000) 제198회,"['■ 제안이유人蔘의 優秀한 品質을 유지하고 건전한 流通 秩序를 확립하기 위하여 그동안 유지하여 온 人蔘의 生産·製造및 販賣 등에 대한 엄격한 管理 制度가 오히려 生産者·製造業者의 自律性과 創意性을 제한하는 規制로 作用하여 人蔘産業의 競爭力을 低下시키고 과다한 行政 費用을 발생시킴에 따라, 行政 規制基本法에 의한 規制 整備計劃에 따라 人蔘耕作 指定制 및 製造確 認制를 廢止하는 등 人蔘의 品質 管理에 관한 規制를 최소화함으로써人蔘産業의 活性化를 도모하려는 것임.■ 주요골자1. 종전에는 5年根이상의 人蔘을 耕作하고자 하는 者는 적정한 耕作地 등의 요건을 갖추어 農林部長官의 지정을 받도록 하였으나, 앞으로는 이러한 지정을 받지 아니하고도 土壤 狀態 등을 고려하여 自律 耕作할 수있도록 함(案 第4條)2. 종전에는 5年根이상의 製造原 料用 水蔘을 收穫하고자 할 때에는 檢査 機關에 申告하고 檢査員이 立會하여封印하도록 하였으나, 앞으로는 義務的인 收穫 申告 및 立會制度를 廢止하 고 人蔘의 年根確認을 받고자하는 者만 人蔘協同組合으로부터 年根確認을 받을 수 있도록 함으로써 生産者의 불편과 行政 費用을 줄임(案 第9條)3. 종전에는 紅蔘이나 5年根 이상의 太極蔘 또는 白蔘의 製造業을 하고자 하는 者는 登錄을 하도록 하였으나,앞으로는 이를 申告하도록 緩和함으로써 新規事業者가 市場進入을 쉽게 할 수 있도록 함(案 第12條)4. 종전에는 5年根 이상의 紅蔘·太極蔘 또는 白蔘을 製造할 때에는 人蔘檢査 機關의 製造 確認을 받도록 하였으나, 앞으로는 이를 廢止하여 製造者의 自律性과 生産性을 높일 수 있도록 함(案 第15條)']",농림해양수산위원회,[]
151321,  공기업의경영구조개선및민영화에관한법률중개정법률안,1998-11-06,정부,1999-01-05,원안가결,제15대 (1996~2000) 제198회,"['■ 제안이유韓國담배人蔘公社, 韓國電氣通信公社, 韓國가스公社 및 韓國重工業株式會社 등 民營化對象 公企業에 대하여 同一人의 株式所有限度를 擴大함으로써 公企業의 株式賣却 및 다른 民間企業과의 戰略的 提携를 용이하게 하고,韓國가스公社 및 韓國重工業株式會社의 株式을 早期에 賣却할 수 있도록 하여 公企業의 民營化를 촉진하려는것임.■ 주요골자1. 同一人의 株式所有限度를 7퍼센트에서 15퍼센트로 擴大하되, 韓國重工業株式會社에 대하여는 同一人의 株式所有限度를 적용하지 아니하도록 함(案 第18條第1項 및 第21條第2項)2. 政府등이 보유하는 株式 또는 持分의 比率이 同一人의 株式所有限度미만이고 民間株主 1人이 보유하는 比率보다 작게 된 때에는 이 法을 적용하지 아니하도록 함(案 第21條第1項)3. 韓國가스公社 및 韓國重工業株式會社의 株式을 2003年 1月 1日이후에 賣却할 수 있도록 한 제한을 廢止하여 이들 公企業을 早期에 賣却할 수 있도록 함(現行 附則 第6條 및 第7條 削除)']",재정경제위원회,[]
151320,  국민체육진흥법중개정법률안(박세직의원 외 55인),1998-11-06,의원,1999-08-12,수정가결,제15대 (1996~2000) 제198회,"['■ 제안이유2002년 월드컵蹴球大會開催를 앞둔 시점에서 월드컵開催準備를 위한 財源을 適時에 確保하고, 나아가 蹴球活性化 및 蹴球 꿈나무育成을 위한 基金을 造成하여 國內 蹴球界의 발전을 꾀하며, 아울러 體育振興基金 및 社會公益基金 等의 財源을 마련하기 위하여 體育振興投票券發行事業을 導入하기 위한 것임.■ 주요골자1. 體育振興과 基金造成을 위한 體育振興投票權의 發行과 發行事業者의 資格要件에 대한 規定을 新設함(案第19條의4)2. 第19條의4의 規定을 違反한 者에 대한 罰則規定을 新設함(案 第30條의2)■ 위원회 수정사항□ 수정이유體育振興投票券 발행사업의 효율적 수행 및 管理를 위하여 受託事業者의 구비요건 및 運營經費 사용한도, 還給金의 지급 및 投票券발행사업의 收益金 사용에 관한 사항 등을 명확히 규정하고, 體育振興投票券 발행의 公正性 보장 및 위반시의 罰則 등의 사항들이 改正案에 미비하게 반영되어 있어 이를 현실에 맞도록 합리적으로 修正·보완하려는 것임.□ 수정주요골자1. 體育振興投票券 발행사업에 관한 체계적인 立法을 위하여 案 第19條의4를 削除하고, 體育振興投票券의 발행에 관한 章(第3章의2)을 新設하여 필요한 立法事項을 規定함(案 第19條의4 削除 및 第3章의2 新設)2. 體育振興投票券 발행사업의 효율적 수행을 위하여 서울올림픽記念國民體育振興公團은 투표권발행사업을 文化觀光部長官의 承認을 얻어 단체 또는 개인에게 委託하도록 하고, 受託事業者의 具備要件 중 ""10年이상운영한 경험""을 삭제함(案 第22條의3)3. 體育振興投票券을 구매하고 運動競技結果를 적중시킨 者에게 적정 還給率을 보장하기 위하여 投票券 發賣金額의 100分의 50이상을 還金金으로 지급하도록 하고, 受託事業者의 委託運營費 사용한도를 投票券 發賣金額의 100分의 25를 초과할 수 없도록 規定함(案 第22條의5 및 第22條의6)4. 體育振興投票券 발행사업의 收益金은 서울올림픽記念國民體育振興公團이 文化觀光部長官의 承認을 얻어2002년월드컵蹴球組織委員會 및 競技場建立費 지원, 國民體育振興基金 및 투표권 발행대상 運動競技의 주최단체 등에 지원하되, 구체적인 配分比率 및 배분방법은 大統領令에서 정하도록 함(案 第22條의7)5. 서울올림픽記念國民體育振興公團은 受託事業者로부터 體育振興投票券 발행사업의 運營計劃 및 收入支出豫算書를 제출받아 每年度 末까지 文化觀光部長官의 承認을 얻도록 하고, 文化觀光部長官은 受託事業者에 대하여 필요한 경우 行政命令 또는 報告要求를 할 수 있도록 함으로써 受託事業者에 대한 감독기능을 강화함(案 第22條의9 및 第29條第1項)6. 體育振興投票券 발행대상 運動競技의 公正한 施行을 妨害하거나, 選手·監督 등에게 不正한 請託을 할 수없도록 하고, 未成年者 및 投票券 발행사업 종사자등의 投票券 구매를 禁止하며, 위반시 罰則에 관한 사항을 規定함(案 第22條의8, 第31條 내지 第35條)']",문화관광위원회,"['박세직', '권오을', '김광수', '김근태', '김민석', '김복동', '김성곤', '김정숙', '김진재', '김태호', '김한길', '김허남', '류종수', '박근혜', '박성범', '박세환', '박철언', '박태준', '박희태', '방용석', '변웅전', '변정일', '서한샘', '서훈', '설훈', '심정구', '오세응', '오양순', '유선호', '윤원중', '이규정', '이기문', '이양희', '이재명', '이재선', '이재오', '이태섭', '이해구', '장영달', '정동채', '정몽준', '정상구', '정영훈', '정우택', '정일영', '정재문', '정한용', '조순승', '조영재', '조홍규', '차수명', '천정배', '최희준', '한영애', '한이헌']"
151319,  한국산업인력공단법중개정법률안,1998-11-06,정부,1998-12-29,원안가결,제15대 (1996~2000) 제198회,"['■ 제안이유 및 주요골자1. 종전에는 5年根 이상의 人蔘을 耕作하고자 하는 者는 적정한 耕作地 등의 요건을 갖추어 農林部長官의지정을 받도록 하였으나, 앞으로는 이러한 지정을 받지 아니하고도 土壤 狀態 을 고려하여 自律 耕作할수 있도록 함(案 第4條)2. 종전에는 5年根 이상의 製造原 料用 水蔘을 收穫하고자 할 때에는 檢査 機關에 申告하고 檢査員이 立會하여 封印하도록 하였으나, 앞으로는 義務的인 收穫申告 및 立會 制度를 廢止하고 人蔘의 年根確認을 받고자 하는 者만 人蔘協同組合으로부터 年根確認을 받을 수 있도록 함으로써 生産者의 불편과 行政 費用을줄임(案 第9條)3. 종전에는 紅蔘이나 5年根 이상의 太極蔘 또는 白蔘의 製造業을 하고자 하는 者는 登錄을 하도록 하였으나, 앞으로는 이를 申告하도록 緩和함으로써 新規事業者가 市場進入을 쉽게 할 수 있도록 함(案 第12條)4. 종전에는 5年根 이상의 紅蔘·太極蔘 또는 白蔘을 製造할 때에는 人蔘檢査 機關의 製造 確認을 받도록 하였으나, 앞으로는 이를 廢止하여 製造者의 自律性과 生産性을 높일 수 있도록 함(案 第15條)']",환경노동위원회,[]
151318,  장애인고용촉진등에관한법률중개정법률안,1998-11-06,정부,1999-12-16,대안반영폐기,제15대 (1996~2000) 제198회,"['■ 제안이유 및 주요골자政府에서 추진하고 있는 「政府出捐·委託機關 經營革新 推進 計劃」에 의하여 韓國障碍人雇傭促進公團의 理事중 常任 理事중 常任 理事 5人을 3人으로 감축하고, 常勤인 監事 1人을 非常勤으로 調整하려는 것임.']",환경노동위원회,[]
151317,  한국노동교육원법중개정법률안,1998-11-06,정부,1998-12-29,원안가결,제15대 (1996~2000) 제198회,['■ 제안이유 및 주요골자政府에서 추진하고 있는 公共部門 構造 調整의 일환으로 勞動行政에 종사하는 公務員 등에 대한 職務敎育을실시하는 勞動硏修院을 廢止하기로 함에 따라 同 機能을 韓國勞動敎育院으로 移管하려는 것임.'],환경노동위원회,[]
151316,  산업재해보상보험법중개정법률안,1998-11-06,정부,1998-12-29,원안가결,제15대 (1996~2000) 제198회,['■ 제안이유 및 주요골자政府에서 추진하고 있는 「政府出捐·委託機關 經營革新 推進 計劃」에 의하여 産業災害 補償 保險業務를 수행하고 있는 勤勞福祉公團의 理事중 常任 理事 4人을 3人으로 감축하려는 것임.'],환경노동위원회,[]
151315,  지방문화원진흥법중개정법률안,1998-11-06,정부,1998-12-18,원안가결,제15대 (1996~2000) 제198회,"['■ 제안이유 및 주요골자行政規制基本法에 의한 規制 整備 計劃에 따라 地方文化院 設立 認可시 조건을 붙일 수 있도록 한 規定을 削除하고, 任員 就任 承認制를 廢止하며, 設立 認可 取消 要件을 削除하는 등 이 法에 의하여 準用되는 民法上의 社團法人에 대한 指導·監督 規定과 重複되거나 過重한 規制 條項을 整備함으로써 地方文化院의 육성·발전을도모하려는 것임.■ 위원회 수정사항□ 수정이유내용없음□ 수정주요골자내용없음']",문화관광위원회,[]
